time,.header.seq,.header.stamp.secs,.header.stamp.nsecs,.header.frame_id,.airspeed,.groundspeed,.heading,.throttle,.altitude,.climb
2025/07/05/17:48:05.654431,9466,1751712485,653665304,,0.6420000195503235,0.5466566681861877,147,0.0,24.34000015258789,-0.01752261258661747
2025/07/05/17:48:05.755281,9467,1751712485,754388662,,0.6420000195503235,0.5469275712966919,146,0.0,24.350000381469727,-0.0154545484110713
2025/07/05/17:48:05.874841,9468,1751712485,874420140,,0.7240000367164612,0.5529298782348633,145,0.0,24.350000381469727,-0.014073619619011879
2025/07/05/17:48:05.996458,9469,1751712485,995572602,,0.7910000085830688,0.5635973811149597,144,0.0,24.35999870300293,-0.010852494277060032
2025/07/05/17:48:06.095195,9470,1751712486,94401727,,0.7910000085830688,0.5790033340454102,144,0.0,24.35999870300293,-0.006635432597249746
2025/07/05/17:48:06.175006,9471,1751712486,174326023,,0.7910000085830688,0.5827698111534119,145,0.0,24.35999870300293,-0.0019927239045500755
2025/07/05/17:48:06.254261,9472,1751712486,253640933,,0.5230000019073486,0.5881575345993042,145,0.0,24.369998931884766,-0.00028176174964755774
2025/07/05/17:48:06.354362,9473,1751712486,353710439,,0.5230000019073486,0.5916770100593567,147,0.0,24.369998931884766,-0.005820761434733868
2025/07/05/17:48:06.534625,9474,1751712486,534269880,,0.5420000553131104,0.582155704498291,149,0.0,24.369998931884766,-0.009423760697245598
2025/07/05/17:48:06.634589,9475,1751712486,633676907,,0.7010000348091125,0.5677380561828613,149,0.0,24.369998931884766,0.00014132200158201158
2025/07/05/17:48:06.714885,9476,1751712486,714271375,,0.7010000348091125,0.5603500604629517,149,0.0,24.369998931884766,-0.002729058498516679
2025/07/05/17:48:06.819167,9477,1751712486,818138546,,0.6040000319480896,0.5613889694213867,148,0.0,24.369998931884766,0.0017465641722083092
2025/07/05/17:48:06.895639,9478,1751712486,894989381,,0.6040000319480896,0.5639894008636475,147,0.0,24.3799991607666,-0.003951043821871281
2025/07/05/17:48:06.998633,9479,1751712486,996476410,,0.46000000834465027,0.5696169137954712,145,0.0,24.3799991607666,-0.011924606747925282
2025/07/05/17:48:07.094902,9480,1751712487,94504085,,0.46000000834465027,0.5653092861175537,144,0.0,24.3799991607666,-0.009860271587967873
2025/07/05/17:48:07.174928,9481,1751712487,174291107,,0.46000000834465027,0.5675109624862671,143,0.0,24.3799991607666,-0.003231082344427705
2025/07/05/17:48:07.254414,9482,1751712487,253705954,,0.6010000109672546,0.5696032047271729,142,0.0,24.3799991607666,-9.782698180060834e-05
2025/07/05/17:48:07.395911,9483,1751712487,395326993,,0.7270000576972961,0.5721397399902344,140,0.0,24.3799991607666,0.0001958394277608022
2025/07/05/17:48:07.534459,9484,1751712487,533661242,,0.7270000576972961,0.577854573726654,139,0.0,24.369998931884766,-0.006160459015518427
2025/07/05/17:48:07.637104,9485,1751712487,636615385,,0.5660000443458557,0.5783802270889282,138,0.0,24.369998931884766,-0.010002917610108852
2025/07/05/17:48:07.735183,9486,1751712487,734352226,,0.5660000443458557,0.583095371723175,136,0.0,24.3799991607666,-0.004308692179620266
