time,.header.seq,.header.stamp.secs,.header.stamp.nsecs,.header.frame_id,.rssi,.channels
2025/07/05/17:48:19.674436,9602,1751712499,681147008,,255,()
2025/07/05/17:48:19.795391,9603,1751712499,802147008,,255,()
2025/07/05/17:48:19.854387,9604,1751712499,861147008,,255,()
2025/07/05/17:48:19.995466,9605,1751712500,2147008,,255,()
2025/07/05/17:48:20.054250,9606,1751712500,61147008,,255,()
2025/07/05/17:48:20.154265,9607,1751712500,161147008,,255,()
2025/07/05/17:48:20.273658,9608,1751712500,281147008,,255,()
2025/07/05/17:48:20.354254,9609,1751712500,361147008,,255,()
2025/07/05/17:48:20.573154,9610,1751712500,580147008,,255,()
2025/07/05/17:48:20.633997,9611,1751712500,640147008,,255,()
2025/07/05/17:48:20.734230,9612,1751712500,741147008,,255,()
2025/07/05/17:48:20.834154,9613,1751712500,841147008,,255,()
2025/07/05/17:48:20.953456,9614,1751712500,960147008,,255,()
2025/07/05/17:48:21.034690,9615,1751712501,41147008,,255,()
2025/07/05/17:48:21.134514,9616,1751712501,141147008,,255,()
2025/07/05/17:48:21.234075,9617,1751712501,240147008,,255,()
2025/07/05/17:48:21.334187,9618,1751712501,341147008,,255,()
2025/07/05/17:48:21.514656,9619,1751712501,521147008,,255,()
2025/07/05/17:48:21.617767,9620,1751712501,624147008,,255,()
2025/07/05/17:48:21.695156,9621,1751712501,702147008,,255,()
2025/07/05/17:48:21.796007,9622,1751712501,802147008,,255,()
2025/07/05/17:48:21.895112,9623,1751712501,902147008,,255,()
2025/07/05/17:48:21.995810,9624,1751712502,2147008,,255,()
2025/07/05/17:48:22.074288,9625,1751712502,81147008,,255,()
2025/07/05/17:48:22.154340,9626,1751712502,160147008,,255,()
2025/07/05/17:48:22.234058,9627,1751712502,241147008,,255,()
2025/07/05/17:48:22.333968,9628,1751712502,341147008,,255,()
2025/07/05/17:48:22.514835,9629,1751712502,521147008,,255,()
2025/07/05/17:48:22.617583,9630,1751712502,624147008,,255,()
2025/07/05/17:48:22.733583,9631,1751712502,740147008,,255,()
2025/07/05/17:48:22.817419,9632,1751712502,824147008,,255,()
2025/07/05/17:48:22.914780,9633,1751712502,921147008,,255,()
2025/07/05/17:48:22.995962,9634,1751712503,2147008,,255,()
2025/07/05/17:48:23.094411,9635,1751712503,101147008,,255,()
2025/07/05/17:48:23.195259,9636,1751712503,202147008,,255,()
2025/07/05/17:48:23.273927,9637,1751712503,280147008,,255,()
2025/07/05/17:48:23.334052,9638,1751712503,341147008,,255,()
2025/07/05/17:48:23.514757,9639,1751712503,521147008,,255,()
2025/07/05/17:48:23.617867,9640,1751712503,624147008,,255,()
2025/07/05/17:48:23.695070,9641,1751712503,702147008,,255,()
2025/07/05/17:48:23.795600,9642,1751712503,802147008,,255,()
2025/07/05/17:48:23.894922,9643,1751712503,901147008,,255,()
2025/07/05/17:48:23.995817,9644,1751712504,2147008,,255,()
2025/07/05/17:48:24.094652,9645,1751712504,101147008,,255,()
2025/07/05/17:48:24.173625,9646,1751712504,180147008,,255,()
2025/07/05/17:48:24.233939,9647,1751712504,241147008,,255,()
2025/07/05/17:48:24.353541,9648,1751712504,360147008,,255,()
2025/07/05/17:48:24.495105,9649,1751712504,502147008,,255,()
2025/07/05/17:48:24.634512,9650,1751712504,640147008,,255,()
2025/07/05/17:48:24.734057,9651,1751712504,740147008,,255,()
2025/07/05/17:48:24.833784,9652,1751712504,841147008,,255,()
2025/07/05/17:48:24.933755,9653,1751712504,941147008,,255,()
2025/07/05/17:48:25.034340,9654,1751712505,41147008,,255,()
2025/07/05/17:48:25.133785,9655,1751712505,141147008,,255,()
2025/07/05/17:48:25.233592,9656,1751712505,240147008,,255,()
2025/07/05/17:48:25.353713,9657,1751712505,360147008,,255,()
2025/07/05/17:48:25.514458,9658,1751712505,521147008,,255,()
2025/07/05/17:48:25.595201,9659,1751712505,602147008,,255,()
2025/07/05/17:48:25.694654,9660,1751712505,701147008,,255,()
2025/07/05/17:48:25.774236,9661,1751712505,781147008,,255,()
2025/07/05/17:48:25.853598,9662,1751712505,861147008,,255,()
2025/07/05/17:48:25.974321,9663,1751712505,981147008,,255,()
2025/07/05/17:48:26.053835,9664,1751712506,61147008,,255,()
2025/07/05/17:48:26.153756,9665,1751712506,160147008,,255,()
