time,.header.seq,.header.stamp.secs,.header.stamp.nsecs,.header.frame_id,.sensors_present,.sensors_enabled,.sensors_health,.load,.voltage_battery,.current_battery,.battery_remaining,.drop_rate_comm,.errors_comm,.errors_count1,.errors_count2,.errors_count3,.errors_count4
2025/07/05/17:48:09.134422,9499,1751712489,133623532,,321969199,52461615,36733231,175,0,-1,-1,0,0,0,0,0,0
2025/07/05/17:48:09.233849,9500,1751712489,233326534,,321969199,52461615,36733231,179,0,-1,-1,0,0,0,0,0,0
2025/07/05/17:48:09.334375,9501,1751712489,333544501,,321969199,52461615,36733231,175,0,-1,-1,0,0,0,0,0,0
2025/07/05/17:48:09.495681,9502,1751712489,495182832,,321969199,52461615,36733231,176,0,-1,-1,0,0,0,0,0,0
2025/07/05/17:48:09.596125,9503,1751712489,595446058,,321969199,52461615,36733231,172,0,-1,-1,0,0,0,0,0,0
2025/07/05/17:48:09.675442,9504,1751712489,674533880,,321969199,52461615,36733231,176,0,-1,-1,0,0,0,0,0,0
2025/07/05/17:48:09.776254,9505,1751712489,774996759,,321969199,52461615,53510447,171,0,-1,-1,0,0,0,0,0,0
2025/07/05/17:48:09.855506,9506,1751712489,853849454,,321969199,52461615,36733231,176,0,-1,-1,0,0,0,0,0,0
2025/07/05/17:48:09.954997,9507,1751712489,954329105,,321969199,52461615,36733231,175,0,-1,-1,0,0,0,0,0,0
2025/07/05/17:48:10.054902,9508,1751712490,54372181,,321969199,52461615,36733231,176,0,-1,-1,0,0,0,0,0,0
2025/07/05/17:48:10.154153,9509,1751712490,153647936,,321969199,52461615,36733231,171,0,-1,-1,0,0,0,0,0,0
2025/07/05/17:48:10.254172,9510,1751712490,253637881,,321969199,52461615,36733231,174,0,-1,-1,0,0,0,0,0,0
2025/07/05/17:48:10.354961,9511,1751712490,354334122,,321969199,52461615,36733231,170,0,-1,-1,0,0,0,0,0,0
2025/07/05/17:48:10.515097,9512,1751712490,514741129,,321969199,52461615,36733231,178,0,-1,-1,0,0,0,0,0,0
2025/07/05/17:48:10.617437,9513,1751712490,617157073,,321969199,52461615,36733231,175,0,-1,-1,0,0,0,0,0,0
2025/07/05/17:48:10.714218,9514,1751712490,713990602,,321969199,52461615,36733231,178,0,-1,-1,0,0,0,0,0,0
2025/07/05/17:48:10.817340,9515,1751712490,816955845,,321969199,52461615,36733231,174,0,-1,-1,0,0,0,0,0,0
2025/07/05/17:48:10.915060,9516,1751712490,914174747,,321969199,52461615,36733231,177,0,-1,-1,0,0,0,0,0,0
2025/07/05/17:48:11.017776,9517,1751712491,17213200,,321969199,52461615,36733231,174,0,-1,-1,0,0,0,0,0,0
2025/07/05/17:48:11.094721,9518,1751712491,94299382,,321969199,52461615,36733231,171,0,-1,-1,0,0,0,0,0,0
2025/07/05/17:48:11.196027,9519,1751712491,195236159,,321969199,52461615,36733231,168,0,-1,-1,0,0,0,0,0,0
2025/07/05/17:48:11.279296,9520,1751712491,278472549,,321969199,52461615,36733231,173,0,-1,-1,0,0,0,0,0,0
2025/07/05/17:48:11.356604,9521,1751712491,354414336,,321969199,52461615,36733231,171,0,-1,-1,0,0,0,0,0,0
2025/07/05/17:48:11.554801,9522,1751712491,554175855,,321969199,52461615,36733231,176,0,-1,-1,0,0,0,0,0,0
2025/07/05/17:48:11.634008,9523,1751712491,633339012,,321969199,52461615,36733231,180,0,-1,-1,0,0,0,0,0,0
2025/07/05/17:48:11.734320,9524,1751712491,733390960,,321969199,52461615,36733231,177,0,-1,-1,0,0,0,0,0,0
2025/07/05/17:48:11.817727,9525,1751712491,817239662,,321969199,52461615,36733231,175,0,-1,-1,0,0,0,0,0,0
2025/07/05/17:48:11.916754,9526,1751712491,915279595,,321969199,52461615,36733231,178,0,-1,-1,0,0,0,0,0,0
2025/07/05/17:48:12.018774,9527,1751712492,17814050,,321969199,52461615,36733231,177,0,-1,-1,0,0,0,0,0,0
2025/07/05/17:48:12.094894,9528,1751712492,94214916,,321969199,52461615,36733231,179,0,-1,-1,0,0,0,0,0,0
2025/07/05/17:48:12.196118,9529,1751712492,195167526,,321969199,52461615,36733231,175,0,-1,-1,0,0,0,0,0,0
2025/07/05/17:48:12.275475,9530,1751712492,274828274,,321969199,52461615,36733231,179,0,-1,-1,0,0,0,0,0,0
2025/07/05/17:48:12.374696,9531,1751712492,373519140,,321969199,52461615,36733231,173,0,-1,-1,0,0,0,0,0,0
2025/07/05/17:48:12.534033,9532,1751712492,533437865,,321969199,52461615,36733231,178,0,-1,-1,0,0,0,0,0,0
2025/07/05/17:48:12.635819,9533,1751712492,633711714,,321969199,52461615,36733231,179,0,-1,-1,0,0,0,0,0,0
2025/07/05/17:48:12.714693,9534,1751712492,713988700,,321969199,52461615,36733231,176,0,-1,-1,0,0,0,0,0,0
2025/07/05/17:48:12.817916,9535,1751712492,817025904,,321969199,52461615,36733231,173,0,-1,-1,0,0,0,0,0,0
2025/07/05/17:48:12.895175,9536,1751712492,894563362,,321969199,52461615,36733231,176,0,-1,-1,0,0,0,0,0,0
2025/07/05/17:48:13.017608,9537,1751712493,17045885,,321969199,52461615,36733231,174,0,-1,-1,0,0,0,0,0,0
2025/07/05/17:48:13.095660,9538,1751712493,94391223,,321969199,52461615,36733231,175,0,-1,-1,0,0,0,0,0,0
2025/07/05/17:48:13.175618,9539,1751712493,174904206,,321969199,52461615,36733231,172,0,-1,-1,0,0,0,0,0,0
2025/07/05/17:48:13.254452,9540,1751712493,253472337,,321969199,52461615,36733231,175,0,-1,-1,0,0,0,0,0,0
2025/07/05/17:48:13.354730,9541,1751712493,354270144,,321969199,52461615,36733231,170,0,-1,-1,0,0,0,0,0,0
2025/07/05/17:48:13.554138,9542,1751712493,553305220,,321969199,52461615,36733231,172,0,-1,-1,0,0,0,0,0,0
2025/07/05/17:48:13.655102,9543,1751712493,654334844,,321969199,52461615,36733231,176,0,-1,-1,0,0,0,0,0,0
2025/07/05/17:48:13.754297,9544,1751712493,753333181,,321969199,52461615,36733231,171,0,-1,-1,0,0,0,0,0,0
2025/07/05/17:48:13.853926,9545,1751712493,853191169,,321969199,52461615,36733231,173,0,-1,-1,0,0,0,0,0,0
2025/07/05/17:48:13.955101,9546,1751712493,954359489,,321969199,52461615,36733231,172,0,-1,-1,0,0,0,0,0,0
2025/07/05/17:48:14.054358,9547,1751712494,53546668,,321969199,52461615,36733231,176,0,-1,-1,0,0,0,0,0,0
2025/07/05/17:48:14.154400,9548,1751712494,153456716,,321969199,52461615,36733231,172,0,-1,-1,0,0,0,0,0,0
2025/07/05/17:48:14.234124,9549,1751712494,233335692,,321969199,52461615,36733231,176,0,-1,-1,0,0,0,0,0,0
2025/07/05/17:48:14.334992,9550,1751712494,334338738,,321969199,52461615,36733231,172,0,-1,-1,0,0,0,0,0,0
2025/07/05/17:48:14.475079,9551,1751712494,474459942,,321969199,52461615,36733231,176,0,-1,-1,0,0,0,0,0,0
2025/07/05/17:48:14.596029,9552,1751712494,594799842,,321969199,52461615,36733231,170,0,-1,-1,0,0,0,0,0,0
2025/07/05/17:48:14.674787,9553,1751712494,674289108,,321969199,52461615,36733231,175,0,-1,-1,0,0,0,0,0,0
2025/07/05/17:48:14.775161,9554,1751712494,774458962,,321969199,52461615,36733231,171,0,-1,-1,0,0,0,0,0,0
2025/07/05/17:48:14.854952,9555,1751712494,854371723,,321969199,52461615,53510447,175,0,-1,-1,0,0,0,0,0,0
2025/07/05/17:48:14.975191,9556,1751712494,973867508,,321969199,52461615,36733231,171,0,-1,-1,0,0,0,0,0,0
2025/07/05/17:48:15.054163,9557,1751712495,53335182,,321969199,52461615,36733231,176,0,-1,-1,0,0,0,0,0,0
2025/07/05/17:48:15.154078,9558,1751712495,153401824,,321969199,52461615,36733231,172,0,-1,-1,0,0,0,0,0,0
2025/07/05/17:48:15.254334,9559,1751712495,253441289,,321969199,52461615,36733231,177,0,-1,-1,0,0,0,0,0,0
2025/07/05/17:48:15.354246,9560,1751712495,353351977,,321969199,52461615,36733231,172,0,-1,-1,0,0,0,0,0,0
2025/07/05/17:48:15.534750,9561,1751712495,534228060,,321969199,52461615,36733231,176,0,-1,-1,0,0,0,0,0,0
2025/07/05/17:48:15.634169,9562,1751712495,633355508,,321969199,52461615,36733231,179,0,-1,-1,0,0,0,0,0,0
2025/07/05/17:48:15.714713,9563,1751712495,714006148,,321969199,52461615,36733231,176,0,-1,-1,0,0,0,0,0,0
2025/07/05/17:48:15.817575,9564,1751712495,816725054,,321969199,52461615,36733231,174,0,-1,-1,0,0,0,0,0,0
2025/07/05/17:48:15.895413,9565,1751712495,894974326,,321969199,52461615,36733231,174,0,-1,-1,0,0,0,0,0,0
2025/07/05/17:48:15.995834,9566,1751712495,995260948,,321969199,52461615,36733231,172,0,-1,-1,0,0,0,0,0,0
2025/07/05/17:48:16.075077,9567,1751712496,74584898,,321969199,52461615,36733231,175,0,-1,-1,0,0,0,0,0,0
2025/07/05/17:48:16.174127,9568,1751712496,173375900,,321969199,52461615,36733231,169,0,-1,-1,0,0,0,0,0,0
2025/07/05/17:48:16.254223,9569,1751712496,253319722,,321969199,52461615,36733231,175,0,-1,-1,0,0,0,0,0,0
2025/07/05/17:48:16.355090,9570,1751712496,354331991,,321969199,52461615,36733231,172,0,-1,-1,0,0,0,0,0,0
2025/07/05/17:48:16.495855,9571,1751712496,495404303,,321969199,52461615,36733231,176,0,-1,-1,0,0,0,0,0,0
2025/07/05/17:48:16.595654,9572,1751712496,595058321,,321969199,52461615,36733231,173,0,-1,-1,0,0,0,0,0,0
2025/07/05/17:48:16.674991,9573,1751712496,674413704,,321969199,52461615,36733231,176,0,-1,-1,0,0,0,0,0,0
2025/07/05/17:48:16.774252,9574,1751712496,773322000,,321969199,52461615,36733231,173,0,-1,-1,0,0,0,0,0,0
2025/07/05/17:48:16.854269,9575,1751712496,853378487,,321969199,52461615,36733231,178,0,-1,-1,0,0,0,0,0,0
2025/07/05/17:48:16.974404,9576,1751712496,973537508,,321969199,52461615,36733231,174,0,-1,-1,0,0,0,0,0,0
2025/07/05/17:48:17.075197,9577,1751712497,74225041,,321969199,52461615,36733231,176,0,-1,-1,0,0,0,0,0,0
2025/07/05/17:48:17.174301,9578,1751712497,173743300,,321969199,52461615,36733231,169,0,-1,-1,0,0,0,0,0,0
2025/07/05/17:48:17.254102,9579,1751712497,253292624,,321969199,52461615,36733231,176,0,-1,-1,0,0,0,0,0,0
2025/07/05/17:48:17.334177,9580,1751712497,333354043,,321969199,52461615,36733231,173,0,-1,-1,0,0,0,0,0,0
2025/07/05/17:48:17.474861,9581,1751712497,474424741,,321969199,52461615,36733231,175,0,-1,-1,0,0,0,0,0,0
2025/07/05/17:48:17.596110,9582,1751712497,595199177,,321969199,52461615,36733231,171,0,-1,-1,0,0,0,0,0,0
2025/07/05/17:48:17.674298,9583,1751712497,673741595,,321969199,52461615,36733231,176,0,-1,-1,0,0,0,0,0,0
2025/07/05/17:48:17.754141,9584,1751712497,753277479,,321969199,52461615,36733231,175,0,-1,-1,0,0,0,0,0,0
2025/07/05/17:48:17.854939,9585,1751712497,854271517,,321969199,52461615,36733231,178,0,-1,-1,0,0,0,0,0,0
2025/07/05/17:48:17.974019,9586,1751712497,973288914,,321969199,52461615,36733231,174,0,-1,-1,0,0,0,0,0,0
2025/07/05/17:48:18.054063,9587,1751712498,53228103,,321969199,52461615,36733231,177,0,-1,-1,0,0,0,0,0,0
2025/07/05/17:48:18.154052,9588,1751712498,153444012,,321969199,52461615,36733231,171,0,-1,-1,0,0,0,0,0,0
2025/07/05/17:48:18.254097,9589,1751712498,253393497,,321969199,52461615,36733231,174,0,-1,-1,0,0,0,0,0,0
