time,.data
2025/07/05/17:48:17.474672,-3.281
2025/07/05/17:48:17.595593,-3.286
2025/07/05/17:48:17.674242,-3.285
2025/07/05/17:48:17.754021,-3.284
2025/07/05/17:48:17.854851,-3.281
2025/07/05/17:48:17.973918,-3.282
2025/07/05/17:48:18.053870,-3.283
2025/07/05/17:48:18.153983,-3.284
2025/07/05/17:48:18.254021,-3.288
2025/07/05/17:48:18.354001,-3.292
2025/07/05/17:48:18.533891,-3.307
2025/07/05/17:48:18.634373,-3.312
2025/07/05/17:48:18.734012,-3.315
2025/07/05/17:48:18.833994,-3.319
2025/07/05/17:48:18.933907,-3.326
2025/07/05/17:48:19.033916,-3.334
2025/07/05/17:48:19.134969,-3.342
2025/07/05/17:48:19.233923,-3.343
2025/07/05/17:48:19.334184,-3.34
2025/07/05/17:48:19.454079,-3.341
2025/07/05/17:48:19.595600,-3.345
2025/07/05/17:48:19.674248,-3.35
2025/07/05/17:48:19.773833,-3.354
2025/07/05/17:48:19.853892,-3.356
2025/07/05/17:48:19.974268,-3.36
2025/07/05/17:48:20.054046,-3.365
2025/07/05/17:48:20.154110,-3.375
2025/07/05/17:48:20.253839,-3.387
2025/07/05/17:48:20.353989,-3.395
2025/07/05/17:48:20.554053,-3.406
2025/07/05/17:48:20.633710,-3.412
2025/07/05/17:48:20.733792,-3.419
2025/07/05/17:48:20.833596,-3.422
2025/07/05/17:48:20.935017,-3.423
2025/07/05/17:48:21.033753,-3.422
2025/07/05/17:48:21.133954,-3.418
2025/07/05/17:48:21.233761,-3.414
2025/07/05/17:48:21.333886,-3.411
2025/07/05/17:48:21.495805,-3.408
2025/07/05/17:48:21.617281,-3.409
2025/07/05/17:48:21.694987,-3.412
2025/07/05/17:48:21.795571,-3.415
2025/07/05/17:48:21.894544,-3.416
2025/07/05/17:48:21.995604,-3.418
2025/07/05/17:48:22.073863,-3.417
2025/07/05/17:48:22.153798,-3.418
2025/07/05/17:48:22.233711,-3.421
2025/07/05/17:48:22.333567,-3.424
2025/07/05/17:48:22.514447,-3.433
2025/07/05/17:48:22.617420,-3.438
2025/07/05/17:48:22.714992,-3.44
2025/07/05/17:48:22.817019,-3.442
2025/07/05/17:48:22.895606,-3.444
2025/07/05/17:48:22.995854,-3.447
2025/07/05/17:48:23.074168,-3.447
2025/07/05/17:48:23.173719,-3.447
2025/07/05/17:48:23.254030,-3.45
2025/07/05/17:48:23.333752,-3.454
2025/07/05/17:48:23.514663,-3.466
2025/07/05/17:48:23.616981,-3.472
2025/07/05/17:48:23.694680,-3.478
2025/07/05/17:48:23.795218,-3.485
2025/07/05/17:48:23.874181,-3.489
2025/07/05/17:48:23.995338,-3.493
2025/07/05/17:48:24.074071,-3.495
2025/07/05/17:48:24.153887,-3.494
2025/07/05/17:48:24.233650,-3.495
2025/07/05/17:48:24.334023,-3.498
2025/07/05/17:48:24.494975,-3.501
2025/07/05/17:48:24.634081,-3.501
2025/07/05/17:48:24.733908,-3.501
2025/07/05/17:48:24.833658,-3.5
2025/07/05/17:48:24.933622,-3.5
2025/07/05/17:48:25.033601,-3.499
2025/07/05/17:48:25.133415,-3.495
2025/07/05/17:48:25.233490,-3.494
2025/07/05/17:48:25.333907,-3.496
2025/07/05/17:48:25.454070,-3.502
2025/07/05/17:48:25.594782,-3.505
2025/07/05/17:48:25.673637,-3.507
2025/07/05/17:48:25.773565,-3.507
2025/07/05/17:48:25.853430,-3.508
2025/07/05/17:48:25.973973,-3.513
2025/07/05/17:48:26.053653,-3.515
2025/07/05/17:48:26.153571,-3.519
2025/07/05/17:48:26.233619,-3.518
2025/07/05/17:48:26.333463,-3.517
2025/07/05/17:48:26.473675,-3.518
2025/07/05/17:48:26.594496,-3.524
2025/07/05/17:48:26.674518,-3.529
2025/07/05/17:48:26.753575,-3.53
2025/07/05/17:48:26.854038,-3.528
2025/07/05/17:48:26.933564,-3.525
2025/07/05/17:48:27.037009,-3.523
2025/07/05/17:48:27.114027,-3.522
2025/07/05/17:48:27.214814,-3.521
2025/07/05/17:48:27.294294,-3.518
2025/07/05/17:48:27.436448,-3.516
2025/07/05/17:48:27.573870,-3.523
2025/07/05/17:48:27.653541,-3.528
2025/07/05/17:48:27.753923,-3.532
2025/07/05/17:48:27.853859,-3.531
2025/07/05/17:48:27.973950,-3.529
2025/07/05/17:48:28.074047,-3.529
2025/07/05/17:48:28.173722,-3.529
2025/07/05/17:48:28.254420,-3.525
2025/07/05/17:48:28.354057,-3.519
2025/07/05/17:48:28.533837,-3.51
2025/07/05/17:48:28.617583,-3.511
2025/07/05/17:48:28.716069,-3.515
2025/07/05/17:48:28.836389,-3.517
2025/07/05/17:48:28.954030,-3.52
2025/07/05/17:48:29.053809,-3.521
2025/07/05/17:48:29.153610,-3.522
2025/07/05/17:48:29.253903,-3.526
2025/07/05/17:48:29.354038,-3.526
2025/07/05/17:48:29.553738,-3.527
2025/07/05/17:48:29.635823,-3.533
2025/07/05/17:48:29.733434,-3.543
2025/07/05/17:48:29.836740,-3.551
2025/07/05/17:48:29.914811,-3.556
2025/07/05/17:48:30.014172,-3.561
2025/07/05/17:48:30.094666,-3.564
2025/07/05/17:48:30.173872,-3.568
2025/07/05/17:48:30.254773,-3.573
2025/07/05/17:48:30.353317,-3.579
2025/07/05/17:48:30.533706,-3.587
2025/07/05/17:48:30.635839,-3.59
2025/07/05/17:48:30.714907,-3.594
2025/07/05/17:48:30.817225,-3.6
2025/07/05/17:48:30.895196,-3.604
2025/07/05/17:48:30.995474,-3.606
2025/07/05/17:48:31.074120,-3.604
2025/07/05/17:48:31.174017,-3.602
2025/07/05/17:48:31.254451,-3.602
2025/07/05/17:48:31.354149,-3.604
2025/07/05/17:48:31.553338,-3.607
2025/07/05/17:48:31.653898,-3.606
2025/07/05/17:48:31.753507,-3.605
2025/07/05/17:48:31.853375,-3.603
2025/07/05/17:48:31.973780,-3.601
2025/07/05/17:48:32.054327,-3.603
2025/07/05/17:48:32.153708,-3.604
2025/07/05/17:48:32.233180,-3.605
2025/07/05/17:48:32.333283,-3.606
2025/07/05/17:48:32.514251,-3.604
2025/07/05/17:48:32.617207,-3.604
2025/07/05/17:48:32.695314,-3.606
2025/07/05/17:48:32.795416,-3.609
2025/07/05/17:48:32.873645,-3.609
2025/07/05/17:48:32.973521,-3.608
2025/07/05/17:48:33.055461,-3.606
2025/07/05/17:48:33.154109,-3.603
2025/07/05/17:48:33.253836,-3.6
2025/07/05/17:48:33.353682,-3.597
2025/07/05/17:48:33.533361,-3.596
2025/07/05/17:48:33.635559,-3.595
2025/07/05/17:48:33.734043,-3.592
2025/07/05/17:48:33.833475,-3.587
2025/07/05/17:48:33.953663,-3.582
2025/07/05/17:48:34.053454,-3.577
2025/07/05/17:48:34.153803,-3.572
2025/07/05/17:48:34.253149,-3.567
2025/07/05/17:48:34.353907,-3.563
2025/07/05/17:48:34.554034,-3.552
2025/07/05/17:48:34.653304,-3.545
2025/07/05/17:48:34.753469,-3.535
2025/07/05/17:48:34.832918,-3.527
2025/07/05/17:48:34.953940,-3.514
2025/07/05/17:48:35.053518,-3.505
2025/07/05/17:48:35.153158,-3.497
2025/07/05/17:48:35.253312,-3.487
2025/07/05/17:48:35.353292,-3.479
2025/07/05/17:48:35.553761,-3.459
2025/07/05/17:48:35.653525,-3.451
2025/07/05/17:48:35.753197,-3.444
2025/07/05/17:48:35.853094,-3.438
2025/07/05/17:48:35.973436,-3.43
2025/07/05/17:48:36.094329,-3.423
2025/07/05/17:48:36.194090,-3.418
2025/07/05/17:48:36.273684,-3.414
2025/07/05/17:48:36.373189,-3.407
2025/07/05/17:48:36.573069,-3.392
2025/07/05/17:48:36.654273,-3.385
2025/07/05/17:48:36.753950,-3.378
2025/07/05/17:48:36.853576,-3.38
2025/07/05/17:48:36.973925,-3.386
2025/07/05/17:48:37.073895,-3.391
2025/07/05/17:48:37.173767,-3.393
2025/07/05/17:48:37.255179,-3.391
2025/07/05/17:48:37.352968,-3.388
2025/07/05/17:48:37.533511,-3.392
2025/07/05/17:48:37.636236,-3.396
2025/07/05/17:48:37.732648,-3.404
2025/07/05/17:48:37.835863,-3.412
2025/07/05/17:48:37.953962,-3.42
2025/07/05/17:48:38.053182,-3.424
2025/07/05/17:48:38.153203,-3.426
2025/07/05/17:48:38.253021,-3.427
2025/07/05/17:48:38.353482,-3.425
2025/07/05/17:48:38.553937,-3.428
2025/07/05/17:48:38.653172,-3.431
2025/07/05/17:48:38.754193,-3.433
2025/07/05/17:48:38.853177,-3.432
2025/07/05/17:48:38.973965,-3.429
2025/07/05/17:48:39.054285,-3.428
2025/07/05/17:48:39.153926,-3.428
2025/07/05/17:48:39.253237,-3.428
2025/07/05/17:48:39.352762,-3.428
2025/07/05/17:48:39.533405,-3.421
2025/07/05/17:48:39.635545,-3.42
2025/07/05/17:48:39.733632,-3.426
2025/07/05/17:48:39.835842,-3.431
2025/07/05/17:48:39.932958,-3.436
2025/07/05/17:48:40.036128,-3.437
2025/07/05/17:48:40.134047,-3.437
2025/07/05/17:48:40.235355,-3.439
2025/07/05/17:48:40.313782,-3.441
2025/07/05/17:48:40.453184,-3.442
2025/07/05/17:48:40.573356,-3.439
2025/07/05/17:48:40.654281,-3.441
2025/07/05/17:48:40.753070,-3.445
2025/07/05/17:48:40.853274,-3.452
2025/07/05/17:48:40.973933,-3.464
2025/07/05/17:48:41.053393,-3.467
2025/07/05/17:48:41.153207,-3.467
2025/07/05/17:48:41.253763,-3.464
2025/07/05/17:48:41.353270,-3.46
2025/07/05/17:48:41.553986,-3.453
2025/07/05/17:48:41.654263,-3.447
2025/07/05/17:48:41.753065,-3.44
2025/07/05/17:48:41.853942,-3.436
2025/07/05/17:48:41.974005,-3.435
2025/07/05/17:48:42.053540,-3.43
2025/07/05/17:48:42.132493,-3.424
2025/07/05/17:48:42.233093,-3.415
2025/07/05/17:48:42.334053,-3.406
2025/07/05/17:48:42.436077,-3.398
2025/07/05/17:48:42.594718,-3.388
2025/07/05/17:48:42.673407,-3.385
2025/07/05/17:48:42.773685,-3.383
2025/07/05/17:48:42.854373,-3.385
2025/07/05/17:48:42.994300,-3.39
2025/07/05/17:48:43.073700,-3.393
2025/07/05/17:48:43.173823,-3.396
2025/07/05/17:48:43.254420,-3.398
2025/07/05/17:48:43.353878,-3.399
2025/07/05/17:48:43.573836,-3.405
2025/07/05/17:48:43.674074,-3.409
2025/07/05/17:48:43.773741,-3.414
2025/07/05/17:48:43.873888,-3.419
2025/07/05/17:48:44.013928,-3.422
2025/07/05/17:48:44.095581,-3.425
2025/07/05/17:48:44.194584,-3.428
2025/07/05/17:48:44.273767,-3.43
2025/07/05/17:48:44.414246,-3.432
2025/07/05/17:48:44.573931,-3.436
2025/07/05/17:48:44.655313,-3.438
2025/07/05/17:48:44.752904,-3.441
2025/07/05/17:48:44.852885,-3.442
2025/07/05/17:48:44.973879,-3.445
2025/07/05/17:48:45.054829,-3.447
2025/07/05/17:48:45.153101,-3.45
2025/07/05/17:48:45.232289,-3.452
2025/07/05/17:48:45.333344,-3.455
2025/07/05/17:48:45.494846,-3.458
2025/07/05/17:48:45.616901,-3.462
2025/07/05/17:48:45.696029,-3.463
2025/07/05/17:48:45.794814,-3.463
2025/07/05/17:48:45.894412,-3.463
2025/07/05/17:48:45.994678,-3.465
2025/07/05/17:48:46.072965,-3.466
2025/07/05/17:48:46.172570,-3.468
2025/07/05/17:48:46.254441,-3.47
2025/07/05/17:48:46.352759,-3.472
2025/07/05/17:48:46.553074,-3.476
2025/07/05/17:48:46.652923,-3.479
2025/07/05/17:48:46.752891,-3.48
2025/07/05/17:48:46.852921,-3.485
2025/07/05/17:48:46.973091,-3.489
2025/07/05/17:48:47.073475,-3.493
2025/07/05/17:48:47.154977,-3.496
2025/07/05/17:48:47.252812,-3.5
2025/07/05/17:48:47.352973,-3.502
2025/07/05/17:48:47.572923,-3.501
2025/07/05/17:48:47.653197,-3.502
2025/07/05/17:48:47.753166,-3.507
2025/07/05/17:48:47.853163,-3.511
2025/07/05/17:48:47.973882,-3.515
2025/07/05/17:48:48.072939,-3.518
2025/07/05/17:48:48.154492,-3.519
2025/07/05/17:48:48.252857,-3.518
2025/07/05/17:48:48.352765,-3.516
2025/07/05/17:48:48.493911,-3.511
2025/07/05/17:48:48.632862,-3.503
2025/07/05/17:48:48.732945,-3.499
2025/07/05/17:48:48.835408,-3.496
2025/07/05/17:48:48.932934,-3.493
2025/07/05/17:48:49.035770,-3.491
2025/07/05/17:48:49.113237,-3.49
2025/07/05/17:48:49.216500,-3.488
2025/07/05/17:48:49.295110,-3.486
2025/07/05/17:48:49.394761,-3.486
2025/07/05/17:48:49.552675,-3.485
2025/07/05/17:48:49.652522,-3.485
2025/07/05/17:48:49.752975,-3.485
2025/07/05/17:48:49.852796,-3.484
2025/07/05/17:48:49.974044,-3.484
2025/07/05/17:48:50.054595,-3.484
2025/07/05/17:48:50.152623,-3.484
2025/07/05/17:48:50.235365,-3.484
2025/07/05/17:48:50.332656,-3.485
2025/07/05/17:48:50.473542,-3.485
2025/07/05/17:48:50.613796,-3.484
2025/07/05/17:48:50.694552,-3.486
2025/07/05/17:48:50.793760,-3.489
2025/07/05/17:48:50.872838,-3.491
2025/07/05/17:48:50.993616,-3.493
2025/07/05/17:48:51.072710,-3.496
2025/07/05/17:48:51.173206,-3.501
2025/07/05/17:48:51.254782,-3.505
2025/07/05/17:48:51.352705,-3.511
2025/07/05/17:48:51.532275,-3.519
2025/07/05/17:48:51.635242,-3.523
2025/07/05/17:48:51.713467,-3.528
2025/07/05/17:48:51.816144,-3.533
2025/07/05/17:48:51.894575,-3.537
2025/07/05/17:48:52.016350,-3.543
2025/07/05/17:48:52.113482,-3.549
2025/07/05/17:48:52.196073,-3.554
2025/07/05/17:48:52.272976,-3.558
2025/07/05/17:48:52.393838,-3.561
2025/07/05/17:48:52.552623,-3.564
2025/07/05/17:48:52.653699,-3.566
2025/07/05/17:48:52.753048,-3.569
2025/07/05/17:48:52.852390,-3.569
