time,.header.seq,.header.stamp.secs,.header.stamp.nsecs,.header.frame_id,.time_ref.secs,.time_ref.nsecs,.source
2025/07/05/17:48:12.217917,9530,1751712492,217112581,,1751712492,4237000,fcu
2025/07/05/17:48:12.317003,9531,1751712492,314651490,,1751712492,101156000,fcu
2025/07/05/17:48:12.438022,9532,1751712492,436811460,,1751712492,224010000,fcu
2025/07/05/17:48:12.556340,9533,1751712492,555134491,,1751712492,340815000,fcu
2025/07/05/17:48:12.654369,9534,1751712492,653600737,,1751712492,440893000,fcu
2025/07/05/17:48:12.734150,9535,1751712492,733841914,,1751712492,520802000,fcu
2025/07/05/17:48:12.833699,9536,1751712492,833474439,,1751712492,620755000,fcu
2025/07/05/17:48:12.954144,9537,1751712492,953565523,,1751712492,740381000,fcu
2025/07/05/17:48:13.033949,9538,1751712493,33188172,,1751712492,820468000,fcu
2025/07/05/17:48:13.115257,9539,1751712493,114182662,,1751712492,901462000,fcu
2025/07/05/17:48:13.195499,9540,1751712493,195267522,,1751712492,982403000,fcu
2025/07/05/17:48:13.274390,9541,1751712493,274062221,,1751712493,60914000,fcu
2025/07/05/17:48:13.395918,9542,1751712493,395576134,,1751712493,182371000,fcu
2025/07/05/17:48:13.574359,9543,1751712493,573841829,,1751712493,361109000,fcu
2025/07/05/17:48:13.695165,9544,1751712493,694279811,,1751712493,481490000,fcu
2025/07/05/17:48:13.795775,9545,1751712493,794877187,,1751712493,582105000,fcu
2025/07/05/17:48:13.874380,9546,1751712493,873735741,,1751712493,661410000,fcu
2025/07/05/17:48:13.996066,9547,1751712493,995185446,,1751712493,782298000,fcu
2025/07/05/17:48:14.095384,9548,1751712494,94478607,,1751712493,881888000,fcu
2025/07/05/17:48:14.173944,9549,1751712494,173269903,,1751712493,961005000,fcu
2025/07/05/17:48:14.274817,9550,1751712494,274334007,,1751712494,60741000,fcu
2025/07/05/17:48:14.354140,9551,1751712494,353960732,,1751712494,141027000,fcu
2025/07/05/17:48:14.534652,9552,1751712494,534244208,,1751712494,320399000,fcu
2025/07/05/17:48:14.617730,9553,1751712494,616909681,,1751712494,403990000,fcu
2025/07/05/17:48:14.695565,9554,1751712494,695221582,,1751712494,482187000,fcu
2025/07/05/17:48:14.796265,9555,1751712494,795988055,,1751712494,582427000,fcu
2025/07/05/17:48:14.895953,9556,1751712494,895103659,,1751712494,681450000,fcu
2025/07/05/17:48:14.995670,9557,1751712494,995462559,,1751712494,782427000,fcu
2025/07/05/17:48:15.074345,9558,1751712495,73902423,,1751712494,861241000,fcu
2025/07/05/17:48:15.195847,9559,1751712495,195265089,,1751712494,982397000,fcu
