time,.header.seq,.header.stamp.secs,.header.stamp.nsecs,.header.frame_id,.fluid_pressure,.variance
2025/07/05/17:48:04.396163,9455,1751712484,402147008,base_link,101077.37426757812,0.0
2025/07/05/17:48:04.574128,9456,1751712484,580147008,base_link,101078.83911132812,0.0
2025/07/05/17:48:04.695845,9457,1751712484,701147008,base_link,101077.79541015625,0.0
2025/07/05/17:48:04.778828,9458,1751712484,780147008,base_link,101077.79541015625,0.0
2025/07/05/17:48:04.875957,9459,1751712484,881147008,base_link,101075.28686523438,0.0
2025/07/05/17:48:04.995797,9460,1751712485,2147008,base_link,101077.490234375,0.0
2025/07/05/17:48:05.095575,9461,1751712485,101147008,base_link,101078.08227539062,0.0
2025/07/05/17:48:05.174272,9462,1751712485,180147008,base_link,101078.08227539062,0.0
2025/07/05/17:48:05.274464,9463,1751712485,280147008,base_link,101078.80859375,0.0
2025/07/05/17:48:05.418244,9464,1751712485,424147008,base_link,101075.9765625,0.0
2025/07/05/17:48:05.574191,9465,1751712485,581147008,base_link,101079.22973632812,0.0
2025/07/05/17:48:05.674165,9466,1751712485,681147008,base_link,101077.16064453125,0.0
2025/07/05/17:48:05.774058,9467,1751712485,781147008,base_link,101076.99584960938,0.0
2025/07/05/17:48:05.895077,9468,1751712485,901147008,base_link,101078.74755859375,0.0
2025/07/05/17:48:06.017790,9469,1751712486,23147008,base_link,101076.84936523438,0.0
2025/07/05/17:48:06.095132,9470,1751712486,102147008,base_link,101078.82690429688,0.0
2025/07/05/17:48:06.196031,9471,1751712486,202147008,base_link,101078.13110351562,0.0
2025/07/05/17:48:06.274633,9472,1751712486,281147008,base_link,101078.13110351562,0.0
2025/07/05/17:48:06.374390,9473,1751712486,380147008,base_link,101077.52685546875,0.0
2025/07/05/17:48:06.553918,9474,1751712486,560147008,base_link,101077.02026367188,0.0
2025/07/05/17:48:06.653954,9475,1751712486,660147008,base_link,101076.6845703125,0.0
2025/07/05/17:48:06.733920,9476,1751712486,740147008,base_link,101075.146484375,0.0
2025/07/05/17:48:06.819073,9477,1751712486,824147008,base_link,101078.13110351562,0.0
2025/07/05/17:48:06.915273,9478,1751712486,921147008,base_link,101077.8564453125,0.0
2025/07/05/17:48:06.998421,9479,1751712487,2147008,base_link,101079.24194335938,0.0
2025/07/05/17:48:07.095139,9480,1751712487,101147008,base_link,101078.466796875,0.0
2025/07/05/17:48:07.196110,9481,1751712487,202147008,base_link,101077.74047851562,0.0
2025/07/05/17:48:07.274275,9482,1751712487,280147008,base_link,101077.74047851562,0.0
2025/07/05/17:48:07.396134,9483,1751712487,402147008,base_link,101077.7099609375,0.0
2025/07/05/17:48:07.554359,9484,1751712487,560147008,base_link,101075.50048828125,0.0
2025/07/05/17:48:07.655029,9485,1751712487,660147008,base_link,101078.48510742188,0.0
2025/07/05/17:48:07.753866,9486,1751712487,760147008,base_link,101076.62353515625,0.0
2025/07/05/17:48:07.854162,9487,1751712487,860147008,base_link,101080.13916015625,0.0
2025/07/05/17:48:07.995902,9488,1751712488,1147008,base_link,101079.31518554688,0.0
2025/07/05/17:48:08.094631,9489,1751712488,101147008,base_link,101076.17797851562,0.0
2025/07/05/17:48:08.175314,9490,1751712488,180147008,base_link,101076.17797851562,0.0
2025/07/05/17:48:08.275770,9491,1751712488,281147008,base_link,101077.294921875,0.0
2025/07/05/17:48:08.418307,9492,1751712488,424147008,base_link,101078.50341796875,0.0
2025/07/05/17:48:08.574520,9493,1751712488,581147008,base_link,101076.3671875,0.0
2025/07/05/17:48:08.695262,9494,1751712488,701147008,base_link,101075.75073242188,0.0
2025/07/05/17:48:08.775886,9495,1751712488,780147008,base_link,101075.75073242188,0.0
2025/07/05/17:48:08.854896,9496,1751712488,860147008,base_link,101079.833984375,0.0
2025/07/05/17:48:08.955086,9497,1751712488,960147008,base_link,101076.06201171875,0.0
2025/07/05/17:48:09.054185,9498,1751712489,60147008,base_link,101077.26440429688,0.0
2025/07/05/17:48:09.154907,9499,1751712489,161147008,base_link,101077.34375,0.0
2025/07/05/17:48:09.254960,9500,1751712489,260147008,base_link,101079.82788085938,0.0
2025/07/05/17:48:09.354115,9501,1751712489,360147008,base_link,101075.62255859375,0.0
2025/07/05/17:48:09.516667,9502,1751712489,521147008,base_link,101076.49536132812,0.0
2025/07/05/17:48:09.596557,9503,1751712489,602147008,base_link,101077.1484375,0.0
2025/07/05/17:48:09.695328,9504,1751712489,701147008,base_link,101078.97338867188,0.0
2025/07/05/17:48:09.795791,9505,1751712489,802147008,base_link,101078.80859375,0.0
2025/07/05/17:48:09.894606,9506,1751712489,901147008,base_link,101077.55737304688,0.0
2025/07/05/17:48:09.975326,9507,1751712489,980147008,base_link,101077.55737304688,0.0
2025/07/05/17:48:10.075998,9508,1751712490,81147008,base_link,101076.67236328125,0.0
2025/07/05/17:48:10.175900,9509,1751712490,181147008,base_link,101077.91137695312,0.0
2025/07/05/17:48:10.275144,9510,1751712490,280147008,base_link,101077.43530273438,0.0
2025/07/05/17:48:10.395684,9511,1751712490,402147008,base_link,101079.47998046875,0.0
2025/07/05/17:48:10.554712,9512,1751712490,560147008,base_link,101081.01196289062,0.0
2025/07/05/17:48:10.617972,9513,1751712490,624147008,base_link,101076.5625,0.0
