time,.header.seq,.header.stamp.secs,.header.stamp.nsecs,.header.frame_id,.twist.linear.x,.twist.linear.y,.twist.linear.z,.twist.angular.x,.twist.angular.y,.twist.angular.z
2025/07/05/17:46:03.280082,8307,1751712363,180147008,map,0.5875783218171778,0.6550967224238791,0.0,0.0,0.0,0.0
2025/07/05/17:46:03.379142,8308,1751712363,180147008,map,0.5875783218171778,0.6550967224238791,0.0,0.0,0.0,0.0
2025/07/05/17:46:03.559011,8309,1751712363,380147008,map,0.704642085250255,0.7235879571235087,0.0,0.0,0.0,0.0
2025/07/05/17:46:03.658793,8310,1751712363,580147008,map,0.6317368247671363,0.6269039673132852,0.0,0.0,0.0,0.0
2025/07/05/17:46:03.779047,8311,1751712363,580147008,map,0.6317368247671363,0.6269039673132852,0.0,0.0,0.0,0.0
2025/07/05/17:46:03.858927,8312,1751712363,780147008,map,0.7709896894979535,0.7419399562551199,0.0,0.0,0.0,0.0
2025/07/05/17:46:03.959113,8313,1751712363,780147008,map,0.7709896894979535,0.7419399562551199,0.0,0.0,0.0,0.0
2025/07/05/17:46:04.058711,8314,1751712363,980147008,map,0.8239255798871947,0.6982454001334704,0.0,0.0,0.0,0.0
2025/07/05/17:46:04.158383,8315,1751712363,980147008,map,0.8239255798871947,0.6982454001334704,0.0,0.0,0.0,0.0
2025/07/05/17:46:04.258864,8316,1751712364,180147008,map,1.0221189905247898,0.7705016347864452,0.0,0.0,0.0,0.0
2025/07/05/17:46:04.358614,8317,1751712364,180147008,map,1.0221189905247898,0.7705016347864452,0.0,0.0,0.0,0.0
2025/07/05/17:46:04.520665,8318,1751712364,380147008,map,0.9801900185746085,0.7594916243690304,0.0,0.0,0.0,0.0
2025/07/05/17:46:04.600331,8319,1751712364,580147008,map,0.8740491316532477,0.6512588697716168,0.0,0.0,0.0,0.0
2025/07/05/17:46:04.699627,8320,1751712364,580147008,map,0.8740491316532477,0.6512588697716168,0.0,0.0,0.0,0.0
2025/07/05/17:46:04.800189,8321,1751712364,780147008,map,1.0314000023827918,0.5935604729804514,0.0,0.0,0.0,0.0
2025/07/05/17:46:04.878749,8322,1751712364,780147008,map,1.0314000023827918,0.5935604729804514,0.0,0.0,0.0,0.0
2025/07/05/17:46:05.000476,8323,1751712364,980147008,map,1.0377158800204749,0.6222907297665065,0.0,0.0,0.0,0.0
2025/07/05/17:46:05.099368,8324,1751712364,980147008,map,1.0377158800204749,0.6222907297665065,0.0,0.0,0.0,0.0
2025/07/05/17:46:05.178986,8325,1751712364,980147008,map,1.0377158800204749,0.6222907297665065,0.0,0.0,0.0,0.0
2025/07/05/17:46:05.279382,8326,1751712365,180147008,map,0.9520857734948928,0.5898581862690658,0.0,0.0,0.0,0.0
2025/07/05/17:46:05.421982,8327,1751712365,380147008,map,1.1450505493999048,0.6155154257360058,0.0,0.0,0.0,0.0
2025/07/05/17:46:05.579088,8328,1751712365,380147008,map,1.1450505493999048,0.6155154257360058,0.0,0.0,0.0,0.0
2025/07/05/17:46:05.658456,8329,1751712365,580147008,map,0.9755212490656675,0.46342021171002024,0.0,0.0,0.0,0.0
2025/07/05/17:46:05.758415,8330,1751712365,580147008,map,0.9755212490656675,0.46342021171002024,0.0,0.0,0.0,0.0
2025/07/05/17:46:05.858672,8331,1751712365,780147008,map,1.001535807182801,0.47856663792067167,0.0,0.0,0.0,0.0
2025/07/05/17:46:05.958692,8332,1751712365,780147008,map,1.001535807182801,0.47856663792067167,0.0,0.0,0.0,0.0
2025/07/05/17:46:06.058887,8333,1751712365,980147008,map,1.0906652980908544,0.3950306412677217,0.0,0.0,0.0,0.0
2025/07/05/17:46:06.158816,8334,1751712365,980147008,map,1.0906652980908544,0.3950306412677217,0.0,0.0,0.0,0.0
2025/07/05/17:46:06.258848,8335,1751712366,180147008,map,1.0469850963721707,0.3031867542861273,0.0,0.0,0.0,0.0
2025/07/05/17:46:06.358061,8336,1751712366,180147008,map,1.0469850963721707,0.3031867542861273,0.0,0.0,0.0,0.0
2025/07/05/17:46:06.538407,8337,1751712366,380147008,map,0.973537843129925,0.30434202469250554,0.0,0.0,0.0,0.0
2025/07/05/17:46:06.641490,8338,1751712366,580147008,map,1.1096034544202222,0.3710527913096868,0.0,0.0,0.0,0.0
2025/07/05/17:46:06.740461,8339,1751712366,580147008,map,1.1096034544202222,0.3710527913096868,0.0,0.0,0.0,0.0
2025/07/05/17:46:06.839059,8340,1751712366,780147008,map,1.042808585708086,0.28098087759401275,0.0,0.0,0.0,0.0
2025/07/05/17:46:06.920593,8341,1751712366,780147008,map,1.042808585708086,0.28098087759401275,0.0,0.0,0.0,0.0
2025/07/05/17:46:07.038347,8342,1751712366,980147008,map,1.0069279358977343,0.21678591261594501,0.0,0.0,0.0,0.0
2025/07/05/17:46:07.138684,8343,1751712366,980147008,map,1.0069279358977343,0.21678591261594501,0.0,0.0,0.0,0.0
2025/07/05/17:46:07.221427,8344,1751712367,180147008,map,1.0132081749681756,0.18522741205787865,0.0,0.0,0.0,0.0
2025/07/05/17:46:07.299691,8345,1751712367,180147008,map,1.0132081749681756,0.18522741205787865,0.0,0.0,0.0,0.0
2025/07/05/17:46:07.458745,8346,1751712367,380147008,map,0.7794735126997473,0.22027492594373277,0.0,0.0,0.0,0.0
2025/07/05/17:46:07.600097,8347,1751712367,580147008,map,1.036522362297737,0.16769434235154956,0.0,0.0,0.0,0.0
2025/07/05/17:46:07.699072,8348,1751712367,580147008,map,1.036522362297737,0.16769434235154956,0.0,0.0,0.0,0.0
2025/07/05/17:46:07.800001,8349,1751712367,780147008,map,1.0026921617306226,0.1871053949087819,0.0,0.0,0.0,0.0
2025/07/05/17:46:07.878652,8350,1751712367,780147008,map,1.0026921617306226,0.1871053949087819,0.0,0.0,0.0,0.0
2025/07/05/17:46:08.000146,8351,1751712367,980147008,map,0.9004991038814051,0.2323819354183676,0.0,0.0,0.0,0.0
2025/07/05/17:46:08.099425,8352,1751712367,980147008,map,0.9004991038814051,0.2323819354183676,0.0,0.0,0.0,0.0
2025/07/05/17:46:08.177943,8353,1751712367,980147008,map,0.9004991038814051,0.2323819354183676,0.0,0.0,0.0,0.0
2025/07/05/17:46:08.301086,8354,1751712368,180147008,map,0.9436689728023138,0.26436503129238925,0.0,0.0,0.0,0.0
2025/07/05/17:46:08.478897,8355,1751712368,380147008,map,0.9247482843170403,0.21757897566789505,0.0,0.0,0.0,0.0
2025/07/05/17:46:08.600244,8356,1751712368,580147008,map,0.7455115630107119,0.26136661878925077,0.0,0.0,0.0,0.0
2025/07/05/17:46:08.699662,8357,1751712368,580147008,map,0.7455115630107119,0.26136661878925077,0.0,0.0,0.0,0.0
2025/07/05/17:46:08.778866,8358,1751712368,580147008,map,0.7455115630107119,0.26136661878925077,0.0,0.0,0.0,0.0
2025/07/05/17:46:08.878668,8359,1751712368,780147008,map,0.8563229921333985,0.3627822117244777,0.0,0.0,0.0,0.0
2025/07/05/17:46:08.999919,8360,1751712368,980147008,map,0.7977211210861163,0.3471901683128569,0.0,0.0,0.0,0.0
2025/07/05/17:46:09.079526,8361,1751712368,980147008,map,0.7977211210861163,0.3471901683128569,0.0,0.0,0.0,0.0
2025/07/05/17:46:09.178005,8362,1751712368,980147008,map,0.7977211210861163,0.3471901683128569,0.0,0.0,0.0,0.0
2025/07/05/17:46:09.258884,8363,1751712369,180147008,map,0.7699392445928464,0.405084632682847,0.0,0.0,0.0,0.0
2025/07/05/17:46:09.358109,8364,1751712369,180147008,map,0.7699392445928464,0.405084632682847,0.0,0.0,0.0,0.0
2025/07/05/17:46:09.538541,8365,1751712369,380147008,map,0.693482895552716,0.310936446200539,0.0,0.0,0.0,0.0
2025/07/05/17:46:09.638328,8366,1751712369,580147008,map,0.8099630284094401,0.43630252418454857,0.0,0.0,0.0,0.0
2025/07/05/17:46:09.738583,8367,1751712369,580147008,map,0.8099630284094401,0.43630252418454857,0.0,0.0,0.0,0.0
2025/07/05/17:46:09.838084,8368,1751712369,780147008,map,0.8155870918133213,0.4871526410351162,0.0,0.0,0.0,0.0
2025/07/05/17:46:09.919348,8369,1751712369,780147008,map,0.8155870918133213,0.4871526410351162,0.0,0.0,0.0,0.0
2025/07/05/17:46:10.022313,8370,1751712369,980147008,map,0.6685016335413297,0.4573899495535224,0.0,0.0,0.0,0.0
2025/07/05/17:46:10.099231,8371,1751712369,980147008,map,0.6685016335413297,0.4573899495535224,0.0,0.0,0.0,0.0
2025/07/05/17:46:10.200247,8372,1751712370,180147008,map,0.5857605650611732,0.40122881304713776,0.0,0.0,0.0,0.0
2025/07/05/17:46:10.278264,8373,1751712370,180147008,map,0.5857605650611732,0.40122881304713776,0.0,0.0,0.0,0.0
2025/07/05/17:46:10.400471,8374,1751712370,380147008,map,0.7340358696612593,0.42859227950423784,0.0,0.0,0.0,0.0
2025/07/05/17:46:10.578145,8375,1751712370,380147008,map,0.7340358696612593,0.42859227950423784,0.0,0.0,0.0,0.0
2025/07/05/17:46:10.699654,8376,1751712370,580147008,map,0.746519903665057,0.5203921919398042,0.0,0.0,0.0,0.0
2025/07/05/17:46:10.778620,8377,1751712370,580147008,map,0.746519903665057,0.5203921919398042,0.0,0.0,0.0,0.0
2025/07/05/17:46:10.858247,8378,1751712370,780147008,map,0.7689111239130052,0.5231402140180387,0.0,0.0,0.0,0.0
2025/07/05/17:46:10.979213,8379,1751712370,780147008,map,0.7689111239130052,0.5231402140180387,0.0,0.0,0.0,0.0
2025/07/05/17:46:11.058711,8380,1751712370,980147008,map,0.6716995616626324,0.5529192516654012,0.0,0.0,0.0,0.0
2025/07/05/17:46:11.158165,8381,1751712370,980147008,map,0.6716995616626324,0.5529192516654012,0.0,0.0,0.0,0.0
2025/07/05/17:46:11.257922,8382,1751712371,180147008,map,0.7323500644973637,0.5732044862269549,0.0,0.0,0.0,0.0
2025/07/05/17:46:11.358152,8383,1751712371,180147008,map,0.7323500644973637,0.5732044862269549,0.0,0.0,0.0,0.0
2025/07/05/17:46:11.519417,8384,1751712371,380147008,map,0.7310707872196249,0.6675593637078862,0.0,0.0,0.0,0.0
2025/07/05/17:46:11.619117,8385,1751712371,580147008,map,0.6854550829215448,0.643235049804516,0.0,0.0,0.0,0.0
2025/07/05/17:46:11.699335,8386,1751712371,580147008,map,0.6854550829215448,0.643235049804516,0.0,0.0,0.0,0.0
2025/07/05/17:46:11.779044,8387,1751712371,580147008,map,0.6854550829215448,0.643235049804516,0.0,0.0,0.0,0.0
2025/07/05/17:46:11.858800,8388,1751712371,780147008,map,0.6758119675678301,0.8166260983412779,0.0,0.0,0.0,0.0
2025/07/05/17:46:11.958164,8389,1751712371,780147008,map,0.6758119675678301,0.8166260983412779,0.0,0.0,0.0,0.0
2025/07/05/17:46:12.058025,8390,1751712371,980147008,map,0.5772742209912738,0.7919308516397867,0.0,0.0,0.0,0.0
2025/07/05/17:46:12.158903,8391,1751712371,980147008,map,0.5772742209912738,0.7919308516397867,0.0,0.0,0.0,0.0
2025/07/05/17:46:12.257553,8392,1751712372,180147008,map,0.6406474364346995,0.8941872634910698,0.0,0.0,0.0,0.0
2025/07/05/17:46:12.358135,8393,1751712372,180147008,map,0.6406474364346995,0.8941872634910698,0.0,0.0,0.0,0.0
2025/07/05/17:46:12.539613,8394,1751712372,380147008,map,0.575986372118925,0.8296624006987899,0.0,0.0,0.0,0.0
2025/07/05/17:46:12.642393,8395,1751712372,580147008,map,0.596684717730805,0.9121772566922011,0.0,0.0,0.0,0.0
2025/07/05/17:46:12.719127,8396,1751712372,580147008,map,0.596684717730805,0.9121772566922011,0.0,0.0,0.0,0.0
2025/07/05/17:46:12.799141,8397,1751712372,580147008,map,0.596684717730805,0.9121772566922011,0.0,0.0,0.0,0.0
2025/07/05/17:46:12.899456,8398,1751712372,780147008,map,0.502181569799644,0.899285088808641,0.0,0.0,0.0,0.0
2025/07/05/17:46:12.978089,8399,1751712372,780147008,map,0.502181569799644,0.899285088808641,0.0,0.0,0.0,0.0
2025/07/05/17:46:13.078640,8400,1751712372,980147008,map,0.523539870983741,0.8520011757564233,0.0,0.0,0.0,0.0
2025/07/05/17:46:13.179001,8401,1751712372,980147008,map,0.523539870983741,0.8520011757564233,0.0,0.0,0.0,0.0
2025/07/05/17:46:13.257911,8402,1751712373,180147008,map,0.491511855915187,0.8708708833660753,0.0,0.0,0.0,0.0
2025/07/05/17:46:13.338653,8403,1751712373,180147008,map,0.491511855915187,0.8708708833660753,0.0,0.0,0.0,0.0
2025/07/05/17:46:13.519697,8404,1751712373,380147008,map,0.497380988925343,0.947371179557225,0.0,0.0,0.0,0.0
2025/07/05/17:46:13.621938,8405,1751712373,580147008,map,0.43014230096183437,1.0232680982632356,0.0,0.0,0.0,0.0
2025/07/05/17:46:13.699373,8406,1751712373,580147008,map,0.43014230096183437,1.0232680982632356,0.0,0.0,0.0,0.0
2025/07/05/17:46:13.800301,8407,1751712373,780147008,map,0.35495367135381384,0.881196851556137,0.0,0.0,0.0,0.0
2025/07/05/17:46:13.879584,8408,1751712373,780147008,map,0.35495367135381384,0.881196851556137,0.0,0.0,0.0,0.0
2025/07/05/17:46:14.000227,8409,1751712373,980147008,map,0.37271665548816096,0.8629497637300328,0.0,0.0,0.0,0.0
2025/07/05/17:46:14.079635,8410,1751712373,980147008,map,0.37271665548816096,0.8629497637300328,0.0,0.0,0.0,0.0
