time,.header.seq,.header.stamp.secs,.header.stamp.nsecs,.header.frame_id,.voltage,.temperature,.current,.charge,.capacity,.design_capacity,.percentage,.power_supply_status,.power_supply_health,.power_supply_technology,.present,.cell_voltage,.cell_temperature,.location,.serial_number
2025/07/05/17:44:16.123832,14576,1751712256,123567283,,11.957000732421875,0.0,-1.6799999475479126,nan,nan,nan,0.8100000023841858,2,0,0,True,"(11.957000732421875,)",(),id1,
2025/07/05/17:44:16.182694,14577,1751712256,182089320,,0.0,0.0,0.009999999776482582,nan,nan,nan,-0.009999999776482582,2,0,0,True,(),(),,
2025/07/05/17:44:16.225514,14578,1751712256,225150302,,11.942000389099121,0.0,-2.4700000286102295,nan,nan,nan,0.8100000023841858,2,0,0,True,"(11.942000389099121,)",(),id1,
2025/07/05/17:44:16.262493,14579,1751712256,261970046,,0.0,0.0,0.009999999776482582,nan,nan,nan,-0.009999999776482582,2,0,0,True,(),(),,
2025/07/05/17:44:16.322769,14580,1751712256,322304177,,11.93600082397461,0.0,-2.129999876022339,nan,nan,nan,0.8100000023841858,2,0,0,True,"(11.93600082397461,)",(),id1,
2025/07/05/17:44:16.363052,14581,1751712256,362501270,,0.0,0.0,0.009999999776482582,nan,nan,nan,-0.009999999776482582,2,0,0,True,(),(),,
2025/07/05/17:44:16.463049,14582,1751712256,462397588,,11.905000686645508,0.0,-5.829999923706055,nan,nan,nan,0.8100000023841858,2,0,0,True,"(11.905000686645508,)",(),id1,
2025/07/05/17:44:16.544959,14583,1751712256,541828488,,0.0,0.0,0.009999999776482582,nan,nan,nan,-0.009999999776482582,2,0,0,True,(),(),,
2025/07/05/17:44:16.584446,14584,1751712256,583238131,,11.993000984191895,0.0,-0.28999999165534973,nan,nan,nan,0.8100000023841858,2,0,0,True,"(11.993000984191895,)",(),id1,
2025/07/05/17:44:16.626319,14585,1751712256,625595294,,0.0,0.0,0.009999999776482582,nan,nan,nan,-0.009999999776482582,2,0,0,True,(),(),,
2025/07/05/17:44:16.663529,14586,1751712256,663222494,,11.915000915527344,0.0,-2.5999999046325684,nan,nan,nan,0.8100000023841858,2,0,0,True,"(11.915000915527344,)",(),id1,
2025/07/05/17:44:16.704509,14587,1751712256,703370874,,0.0,0.0,0.009999999776482582,nan,nan,nan,-0.009999999776482582,2,0,0,True,(),(),,
2025/07/05/17:44:16.742965,14588,1751712256,742335820,,11.760000228881836,0.0,-9.710000038146973,nan,nan,nan,0.8100000023841858,2,0,0,True,"(11.760000228881836,)",(),id1,
2025/07/05/17:44:16.805479,14589,1751712256,804255870,,0.0,0.0,0.009999999776482582,nan,nan,nan,-0.009999999776482582,2,0,0,True,(),(),,
2025/07/05/17:44:16.842361,14590,1751712256,842082226,,11.779000282287598,0.0,-7.980000019073486,nan,nan,nan,0.8100000023841858,2,0,0,True,"(11.779000282287598,)",(),id1,
2025/07/05/17:44:16.883219,14591,1751712256,882625635,,0.0,0.0,0.009999999776482582,nan,nan,nan,-0.009999999776482582,2,0,0,True,(),(),,
2025/07/05/17:44:16.942928,14592,1751712256,942401285,,11.761000633239746,0.0,-11.15999984741211,nan,nan,nan,0.8100000023841858,2,0,0,True,"(11.761000633239746,)",(),id1,
2025/07/05/17:44:17.026145,14593,1751712257,25404294,,0.0,0.0,0.009999999776482582,nan,nan,nan,-0.009999999776482582,2,0,0,True,(),(),,
