time,.data
2025/07/05/17:44:48.661078,22
2025/07/05/17:44:48.761755,22
2025/07/05/17:44:48.861928,22
2025/07/05/17:44:48.962252,22
2025/07/05/17:44:49.040814,22
2025/07/05/17:44:49.141405,22
2025/07/05/17:44:49.225302,22
2025/07/05/17:44:49.302245,22
2025/07/05/17:44:49.461649,22
2025/07/05/17:44:49.581537,22
2025/07/05/17:44:49.682498,22
2025/07/05/17:44:49.781948,22
2025/07/05/17:44:49.881933,22
2025/07/05/17:44:50.003656,22
2025/07/05/17:44:50.102156,22
2025/07/05/17:44:50.181986,22
2025/07/05/17:44:50.282049,22
2025/07/05/17:44:50.423025,22
2025/07/05/17:44:50.581944,22
2025/07/05/17:44:50.661856,21
2025/07/05/17:44:50.761412,21
2025/07/05/17:44:50.861860,21
2025/07/05/17:44:50.961434,21
2025/07/05/17:44:51.081677,21
2025/07/05/17:44:51.181649,21
2025/07/05/17:44:51.261326,22
2025/07/05/17:44:51.361444,22
2025/07/05/17:44:51.522815,22
2025/07/05/17:44:51.625111,22
2025/07/05/17:44:51.702382,22
2025/07/05/17:44:51.803240,22
2025/07/05/17:44:51.902410,22
2025/07/05/17:44:52.024738,22
2025/07/05/17:44:52.102390,22
2025/07/05/17:44:52.203332,22
2025/07/05/17:44:52.281154,22
2025/07/05/17:44:52.402310,22
2025/07/05/17:44:52.541803,22
2025/07/05/17:44:52.625854,22
2025/07/05/17:44:52.702369,22
2025/07/05/17:44:52.803437,22
2025/07/05/17:44:52.922280,22
2025/07/05/17:44:53.003232,22
2025/07/05/17:44:53.081881,22
2025/07/05/17:44:53.182037,22
2025/07/05/17:44:53.301916,22
2025/07/05/17:44:53.425083,22
2025/07/05/17:44:53.582201,22
2025/07/05/17:44:53.702258,22
2025/07/05/17:44:53.781248,22
2025/07/05/17:44:53.902347,22
2025/07/05/17:44:54.003520,22
2025/07/05/17:44:54.082068,22
2025/07/05/17:44:54.202568,22
2025/07/05/17:44:54.281976,22
2025/07/05/17:44:54.361492,22
2025/07/05/17:44:54.541045,22
2025/07/05/17:44:54.640547,22
2025/07/05/17:44:54.722026,22
2025/07/05/17:44:54.824771,22
2025/07/05/17:44:54.922954,22
2025/07/05/17:44:55.024581,22
2025/07/05/17:44:55.102191,22
2025/07/05/17:44:55.203438,22
2025/07/05/17:44:55.281309,22
2025/07/05/17:44:55.403335,22
2025/07/05/17:44:55.580849,22
2025/07/05/17:44:55.701845,22
2025/07/05/17:44:55.803421,22
2025/07/05/17:44:55.881131,22
2025/07/05/17:44:56.003377,22
2025/07/05/17:44:56.081897,22
2025/07/05/17:44:56.181183,22
2025/07/05/17:44:56.302023,22
2025/07/05/17:44:56.422773,22
2025/07/05/17:44:56.602791,22
2025/07/05/17:44:56.681971,22
2025/07/05/17:44:56.781985,22
2025/07/05/17:44:56.881692,22
2025/07/05/17:44:57.003336,22
2025/07/05/17:44:57.081843,22
2025/07/05/17:44:57.182100,22
2025/07/05/17:44:57.281920,22
2025/07/05/17:44:57.381994,22
2025/07/05/17:44:57.561436,22
2025/07/05/17:44:57.683865,22
2025/07/05/17:44:57.761400,22
2025/07/05/17:44:57.861144,22
2025/07/05/17:44:57.960864,22
2025/07/05/17:44:58.061921,22
2025/07/05/17:44:58.184212,22
2025/07/05/17:44:58.261716,22
2025/07/05/17:44:58.361816,22
2025/07/05/17:44:58.542069,22
2025/07/05/17:44:58.643807,22
2025/07/05/17:44:58.761655,22
2025/07/05/17:44:58.861593,22
2025/07/05/17:44:59.002443,22
2025/07/05/17:44:59.102225,22
2025/07/05/17:44:59.182046,22
2025/07/05/17:44:59.301813,22
2025/07/05/17:44:59.425028,22
2025/07/05/17:44:59.602513,22
2025/07/05/17:44:59.701867,22
2025/07/05/17:44:59.781760,22
2025/07/05/17:44:59.883772,22
2025/07/05/17:44:59.962442,22
2025/07/05/17:45:00.061196,22
2025/07/05/17:45:00.161019,22
2025/07/05/17:45:00.260965,22
2025/07/05/17:45:00.360888,22
2025/07/05/17:45:00.542551,22
2025/07/05/17:45:00.640959,22
2025/07/05/17:45:00.722595,22
2025/07/05/17:45:00.824333,22
2025/07/05/17:45:00.921639,22
2025/07/05/17:45:01.042320,22
2025/07/05/17:45:01.123340,22
2025/07/05/17:45:01.202521,22
2025/07/05/17:45:01.282008,22
2025/07/05/17:45:01.403761,22
2025/07/05/17:45:01.541104,22
2025/07/05/17:45:01.642344,21
2025/07/05/17:45:01.742472,21
2025/07/05/17:45:01.824589,21
2025/07/05/17:45:01.921916,21
2025/07/05/17:45:02.024584,21
2025/07/05/17:45:02.101686,21
2025/07/05/17:45:02.182006,21
2025/07/05/17:45:02.261758,22
2025/07/05/17:45:02.362532,22
2025/07/05/17:45:02.541996,22
2025/07/05/17:45:02.624835,22
