time,.x,.y,.z
2025/07/05/17:44:21.544148,-58.7909347994008,-18.370499999955214,0.0
2025/07/05/17:44:21.644886,-58.77960270007357,-18.348299999991546,0.0
2025/07/05/17:44:21.725462,-58.77960270007357,-18.32609999992929,0.0
2025/07/05/17:44:21.828109,-58.768270599135946,-18.292799999934495,0.0
2025/07/05/17:44:21.944623,-58.74560640048148,-18.2594999999397,0.0
2025/07/05/17:44:22.045385,-58.734274299543856,-18.23729999997603,0.0
2025/07/05/17:44:22.142593,-58.72294220021662,-18.215099999913775,0.0
2025/07/05/17:44:22.245597,-58.711610099279,-18.18179999991898,0.0
2025/07/05/17:44:22.342494,-58.68894590062453,-18.15959999995531,0.0
2025/07/05/17:44:22.505871,-58.666281700359676,-18.115199999929388,0.0
2025/07/05/17:44:22.627350,-58.64361750009482,-18.081899999934592,0.0
2025/07/05/17:44:22.705473,-58.620953299829964,-18.070799999903464,0.0
2025/07/05/17:44:22.785704,-58.60962120050273,-18.048599999939796,0.0
2025/07/05/17:44:22.864067,-58.59828909956511,-18.03749999990867,0.0
2025/07/05/17:44:22.984859,-58.57562489930025,-18.015299999945,0.0
2025/07/05/17:44:23.064873,-58.56429279997302,-17.993099999981332,0.0
2025/07/05/17:44:23.164766,-58.54162859970816,-17.970899999919077,0.0
2025/07/05/17:44:23.264144,-58.518964399443306,-17.94869999995541,0.0
2025/07/05/17:44:23.364056,-58.49630019917845,-17.92649999999174,0.0
2025/07/05/17:44:23.525344,-58.47363600052398,-17.893199999996945,0.0
2025/07/05/17:44:23.643484,-58.450971800259126,-17.85989999990356,0.0
2025/07/05/17:44:23.745202,-58.42830759999427,-17.837699999939893,0.0
2025/07/05/17:44:23.826487,-58.41697549905665,-17.815499999976225,0.0
2025/07/05/17:44:23.904718,-58.40564339972941,-17.79329999991397,0.0
2025/07/05/17:44:24.027473,-58.38297919946456,-17.759999999919174,0.0
2025/07/05/17:44:24.106445,-58.371647100137324,-17.737799999955506,0.0
2025/07/05/17:44:24.205389,-58.34898289987247,-17.715599999991838,0.0
2025/07/05/17:44:24.287807,-58.32631869960761,-17.693399999929582,0.0
2025/07/05/17:44:24.384250,-58.303654499342755,-17.671199999965914,0.0
2025/07/05/17:44:24.583372,-58.269658199750666,-17.62679999993999,0.0
2025/07/05/17:44:24.664434,-58.25832610042343,-17.604599999976323,0.0
2025/07/05/17:44:24.764853,-58.235661900158576,-17.593499999945195,0.0
2025/07/05/17:44:24.864773,-58.21299769989372,-17.571299999981527,0.0
2025/07/05/17:44:25.005273,-58.17900140030163,-17.53799999998673,0.0
2025/07/05/17:44:25.087305,-58.16766929936401,-17.526899999955603,0.0
2025/07/05/17:44:25.182299,-58.14500509909915,-17.504699999991935,0.0
2025/07/05/17:44:25.264689,-58.122340900444684,-17.493599999960807,0.0
2025/07/05/17:44:25.365429,-58.09967670017983,-17.47139999999714,0.0
2025/07/05/17:44:25.544789,-58.06568040058774,-17.438099999903756,0.0
2025/07/05/17:44:25.644021,-58.054348299650115,-17.426999999971216,0.0
2025/07/05/17:44:25.743410,-58.03168409938526,-17.415899999940088,0.0
2025/07/05/17:44:25.842570,-58.0090198991204,-17.39369999997642,0.0
2025/07/05/17:44:25.925651,-57.99768779979317,-17.382599999945292,0.0
2025/07/05/17:44:26.044766,-57.97502359952831,-17.360399999981624,0.0
2025/07/05/17:44:26.146099,-57.96369150020108,-17.338199999919368,0.0
2025/07/05/17:44:26.244168,-57.95235939926346,-17.327099999986828,0.0
2025/07/05/17:44:26.342420,-57.92969520060899,-17.304899999924572,0.0
2025/07/05/17:44:26.483946,-57.90703100034413,-17.282699999960904,0.0
2025/07/05/17:44:26.582627,-57.88436680007928,-17.260499999997236,0.0
2025/07/05/17:44:26.663743,-57.873034699141655,-17.24939999996611,0.0
2025/07/05/17:44:26.765018,-57.86170259981442,-17.227199999903853,0.0
2025/07/05/17:44:26.864619,-57.839038399549565,-17.216099999971313,0.0
2025/07/05/17:44:26.983624,-57.82770630022233,-17.193899999909057,0.0
2025/07/05/17:44:27.063864,-57.81637419928471,-17.17169999994539,0.0
2025/07/05/17:44:27.164921,-57.79371000063024,-17.16059999991426,0.0
2025/07/05/17:44:27.264420,-57.78237789969262,-17.138399999950593,0.0
2025/07/05/17:44:27.364323,-57.771045800365386,-17.127299999919465,0.0
2025/07/05/17:44:27.544163,-57.75971369942776,-17.09399999992467,0.0
2025/07/05/17:44:27.642012,-57.73704949916291,-17.071799999961,0.0
2025/07/05/17:44:27.743090,-57.72571739983567,-17.060699999929874,0.0
2025/07/05/17:44:27.843712,-57.71438530050844,-17.049599999997334,0.0
2025/07/05/17:44:27.964539,-57.70305319957082,-17.027399999935078,0.0
2025/07/05/17:44:28.064430,-57.69172110024358,-17.00519999997141,0.0
2025/07/05/17:44:28.164258,-57.68038899930596,-16.994099999940282,0.0
2025/07/05/17:44:28.264407,-57.66905689997873,-16.971899999976614,0.0
2025/07/05/17:44:28.364507,-57.65772480065149,-16.960799999945486,0.0
2025/07/05/17:44:28.563213,-57.64639269971387,-16.938599999981818,0.0
2025/07/05/17:44:28.664884,-57.63506060038664,-16.92749999995069,0.0
2025/07/05/17:44:28.763638,-57.63506060038664,-16.905299999987022,0.0
2025/07/05/17:44:28.863812,-57.623728499449015,-16.894199999955894,0.0
2025/07/05/17:44:28.963757,-57.623728499449015,-16.894199999955894,0.0
2025/07/05/17:44:29.043508,-57.61239640012178,-16.883099999924767,0.0
2025/07/05/17:44:29.143115,-57.60106429918416,-16.871999999992227,0.0
2025/07/05/17:44:29.243306,-57.589732199856925,-16.8608999999611,0.0
2025/07/05/17:44:29.342457,-57.589732199856925,-16.84979999992997,0.0
2025/07/05/17:44:29.524973,-57.56706799959207,-16.83869999999743,0.0
2025/07/05/17:44:29.626785,-57.555735900264835,-16.827599999966303,0.0
2025/07/05/17:44:29.706862,-57.54440379932721,-16.827599999966303,0.0
2025/07/05/17:44:29.786015,-57.53307169999998,-16.816499999935175,0.0
2025/07/05/17:44:29.863733,-57.53307169999998,-16.805399999904047,0.0
2025/07/05/17:44:29.984158,-57.52173959906236,-16.794299999971507,0.0
2025/07/05/17:44:30.064240,-57.51040749973512,-16.78319999994038,0.0
2025/07/05/17:44:30.164329,-57.49907540040789,-16.77209999990925,0.0
2025/07/05/17:44:30.263106,-57.49907540040789,-16.77209999990925,0.0
2025/07/05/17:44:30.364140,-57.48774329947027,-16.76099999997671,0.0
2025/07/05/17:44:30.505073,-57.47641120014303,-16.749899999945583,0.0
2025/07/05/17:44:30.625295,-57.45374699987818,-16.749899999945583,0.0
2025/07/05/17:44:30.724951,-57.45374699987818,-16.738799999914455,0.0
2025/07/05/17:44:30.824377,-57.44241490055094,-16.727699999981915,0.0
2025/07/05/17:44:30.943999,-57.43108279961332,-16.716599999950787,0.0
2025/07/05/17:44:31.046362,-57.41975070028609,-16.70549999991966,0.0
2025/07/05/17:44:31.143460,-57.41975070028609,-16.68329999995599,0.0
2025/07/05/17:44:31.243376,-57.408418599348465,-16.672199999924864,0.0
2025/07/05/17:44:31.344213,-57.39708650002123,-16.661099999992324,0.0
2025/07/05/17:44:31.464407,-57.38575439908361,-16.649999999961196,0.0
