time,.header.seq,.header.stamp.secs,.header.stamp.nsecs,.header.frame_id,.pose.position.x,.pose.position.y,.pose.position.z,.pose.orientation.x,.pose.orientation.y,.pose.orientation.z,.pose.orientation.w
2025/07/05/17:46:07.621571,4212,1751712367,624147008,map,18.44935417175293,-6.358719348907471,-1.205519437789917,0.006199410106364084,-0.06582614764749815,-0.17998896662798475,-0.9814440674294245
2025/07/05/17:46:07.699234,4213,1751712367,702147008,map,18.527135848999023,-6.346188545227051,-1.2090095281600952,0.013133471433644342,-0.0647014966301889,-0.184255570207977,-0.9806585099356699
2025/07/05/17:46:07.800204,4214,1751712367,802147008,map,18.621198654174805,-6.32857608795166,-1.212638258934021,0.016312065839560207,-0.06486876063106593,-0.1910125607636446,-0.9793059593573146
2025/07/05/17:46:07.919838,4215,1751712367,921147008,map,18.73709487915039,-6.311271667480469,-1.2157094478607178,0.015670063297393476,-0.06588625064941535,-0.19994815475883282,-0.9774631381797249
2025/07/05/17:46:08.021792,4216,1751712368,24147008,map,18.831308364868164,-6.292941093444824,-1.218578577041626,0.012383537956970371,-0.06668691249150861,-0.21178272018422478,-0.974960298228286
2025/07/05/17:46:08.099486,4217,1751712368,101147008,map,18.904285430908203,-6.274767875671387,-1.2211285829544067,0.010583169721940178,-0.06704037533125194,-0.21930000507122305,-0.9732939393471238
2025/07/05/17:46:08.200430,4218,1751712368,202147008,map,18.993864059448242,-6.248925685882568,-1.2241275310516357,0.008297947375035218,-0.06760119500691773,-0.22798264946073304,-0.9712801521949587
2025/07/05/17:46:08.319661,4219,1751712368,321147008,map,19.103111267089844,-6.217447280883789,-1.2299307584762573,0.006066642856193117,-0.06915336513103354,-0.23657848236830886,-0.9691293152184683
2025/07/05/17:46:08.519584,4220,1751712368,521147008,map,19.28473472595215,-6.167758941650391,-1.2420557737350464,0.005288455965726097,-0.07040887864332508,-0.2494367629375594,-0.9658136069329941
2025/07/05/17:46:08.621423,4221,1751712368,624147008,map,19.371967315673828,-6.140758991241455,-1.2496312856674194,0.011528140379886295,-0.06854530356017037,-0.2614102586427457,-0.962721828990887
2025/07/05/17:46:08.719555,4222,1751712368,721147008,map,19.45115089416504,-6.107879161834717,-1.2559738159179688,0.013265854595991455,-0.06773226356083292,-0.2670130200796321,-0.9612181878651267
2025/07/05/17:46:08.800751,4223,1751712368,802147008,map,19.514328002929688,-6.080852508544922,-1.2600547075271606,0.013245435350563935,-0.06799791750827784,-0.27413771962353617,-0.9591920310013626
2025/07/05/17:46:08.899664,4224,1751712368,902147008,map,19.593984603881836,-6.044431209564209,-1.2613657712936401,0.011677815846227482,-0.06912163370932038,-0.2818642036638596,-0.9568899618364456
2025/07/05/17:46:09.021367,4225,1751712369,24147008,map,19.689485549926758,-6.000107765197754,-1.2624818086624146,0.01028581593924405,-0.07025872982799179,-0.2916184657999367,-0.9538954781724843
2025/07/05/17:46:09.099516,4226,1751712369,102147008,map,19.75301170349121,-5.970611095428467,-1.2630897760391235,0.010708320866505066,-0.07010896565263365,-0.29833275664657705,-0.951823319272538
2025/07/05/17:46:09.200380,4227,1751712369,202147008,map,19.83125877380371,-5.933497428894043,-1.2657012939453125,0.012283068601459137,-0.06915063360878095,-0.30683876049193576,-0.9491666298163924
2025/07/05/17:46:09.299959,4228,1751712369,301147008,map,19.907167434692383,-5.891763210296631,-1.269236445426941,0.013874012086406448,-0.06781523004531793,-0.3139273197137445,-0.9469204001920495
2025/07/05/17:46:09.378469,4229,1751712369,381147008,map,19.967327117919922,-5.85836124420166,-1.2695409059524536,0.015859811501384432,-0.06689531031294074,-0.32296232931596675,-0.9439114458889037
2025/07/05/17:46:09.559239,4230,1751712369,560147008,map,20.098430633544922,-5.790914535522461,-1.2739664316177368,0.01802252029475053,-0.06682134600978414,-0.3376241178650423,-0.9387332163695488
2025/07/05/17:46:09.658812,4231,1751712369,660147008,map,20.171833038330078,-5.749149322509766,-1.2770683765411377,0.0170396965342432,-0.06692224564545027,-0.3488409887896503,-0.9346341671049962
2025/07/05/17:46:09.778425,4232,1751712369,780147008,map,20.259525299072266,-5.696291923522949,-1.2802256345748901,0.014741855777327088,-0.06754638391565312,-0.3580651854088152,-0.9311334419439087
2025/07/05/17:46:09.858716,4233,1751712369,860147008,map,20.318817138671875,-5.65724515914917,-1.2857060432434082,0.012476609190992178,-0.06824186731342373,-0.3666362508904416,-0.9277743482666858
2025/07/05/17:46:09.958847,4234,1751712369,960147008,map,20.392641067504883,-5.606975078582764,-1.290764331817627,0.012598291564878615,-0.06818222760387738,-0.37266999481543966,-0.9253699486437194
2025/07/05/17:46:10.022432,4235,1751712370,24147008,map,20.435495376586914,-5.575844764709473,-1.2935117483139038,0.016223116927464105,-0.06687814334487358,-0.37982688757568295,-0.9224942600875463
2025/07/05/17:46:10.119395,4236,1751712370,121147008,map,20.504043579101562,-5.521537780761719,-1.2971546649932861,0.019472986340775267,-0.0656339894827324,-0.3852081522189208,-0.9202867279775568
2025/07/05/17:46:10.221711,4237,1751712370,224147008,map,20.571834564208984,-5.466777324676514,-1.3002325296401978,0.02082677895547499,-0.06459809135582721,-0.39156444471653135,-0.917644058175804
2025/07/05/17:46:10.318674,4238,1751712370,321147008,map,20.636966705322266,-5.414206504821777,-1.3046720027923584,0.020464285534374085,-0.06444128868619486,-0.3971152321757024,-0.9152748361580079
2025/07/05/17:46:10.458596,4239,1751712370,460147008,map,20.732585906982422,-5.340860843658447,-1.31187903881073,0.0189576316087172,-0.06527682584981287,-0.4046027490973768,-0.9119628060582332
2025/07/05/17:46:10.601802,4240,1751712370,602147008,map,20.830148696899414,-5.266849994659424,-1.3175032138824463,0.02015781033483411,-0.06533443764344819,-0.42080979328641,-0.904568511398981
2025/07/05/17:46:10.720302,4241,1751712370,721147008,map,20.91556739807129,-5.196346282958984,-1.3213386535644531,0.019855141767584055,-0.06530179825771013,-0.42789367017071167,-0.9012482762910211
2025/07/05/17:46:10.799872,4242,1751712370,802147008,map,20.97107696533203,-5.147307395935059,-1.32355797290802,0.020647570297293305,-0.06499189302834846,-0.4352535144140337,-0.8977216215908148
2025/07/05/17:46:10.878785,4243,1751712370,881147008,map,21.0306453704834,-5.099367618560791,-1.329457402229309,0.020313485653701658,-0.06554333875522524,-0.44045106517235505,-0.8951504299468063
2025/07/05/17:46:11.000099,4244,1751712371,2147008,map,21.11810874938965,-5.024693489074707,-1.3369934558868408,0.021564144222215843,-0.06563004970871578,-0.44894057564027484,-0.8908872228306867
2025/07/05/17:46:11.099520,4245,1751712371,101147008,map,21.18821144104004,-4.96005916595459,-1.344602346420288,0.022330658197292727,-0.06519109892032776,-0.4544219704857283,-0.8881171854355165
2025/07/05/17:46:11.178910,4246,1751712371,181147008,map,21.243471145629883,-4.906976699829102,-1.3491032123565674,0.022905373826725802,-0.06481474620658875,-0.4614712842479576,-0.8844877875576203
2025/07/05/17:46:11.278616,4247,1751712371,281147008,map,21.31640625,-4.842901706695557,-1.3542708158493042,0.023258973449575934,-0.064872403032156,-0.46918265773566104,-0.8804079879004999
2025/07/05/17:46:11.422661,4248,1751712371,424147008,map,21.416458129882812,-4.749127388000488,-1.3637984991073608,0.025151587107627056,-0.06422259088578552,-0.47768483301411313,-0.8758196485545204
2025/07/05/17:46:11.538497,4249,1751712371,540147008,map,21.501134872436523,-4.6629958152771,-1.372798204421997,0.02624498098688118,-0.06337092717449906,-0.48882041278324867,-0.8696838107084993
2025/07/05/17:46:11.641655,4250,1751712371,643147008,map,21.569801330566406,-4.589946746826172,-1.3775113821029663,0.025866599224480948,-0.06299480931917673,-0.49804747292946383,-0.8644716812897781
2025/07/05/17:46:11.719467,4251,1751712371,721147008,map,21.62384796142578,-4.531710147857666,-1.3806700706481934,0.025746510365141063,-0.0633687028676211,-0.5042314023142858,-0.8608555149507157
2025/07/05/17:46:11.800774,4252,1751712371,802147008,map,21.67639923095703,-4.472055435180664,-1.3841757774353027,0.025539719750139377,-0.0638008112775265,-0.5100538925198403,-0.8573926789521666
