time,.server_id,.seq_num,.type,.markers,.poses,.erases
2025/07/05/17:45:34.217176,/waypoint_nav_plugin,7,0,[],[],[]
2025/07/05/17:45:34.733649,/waypoint_nav_plugin,7,0,[],[],[]
2025/07/05/17:45:35.207621,/waypoint_nav_plugin,7,0,[],[],[]
2025/07/05/17:45:35.723920,/waypoint_nav_plugin,7,0,[],[],[]
2025/07/05/17:45:36.229516,/waypoint_nav_plugin,7,0,[],[],[]
2025/07/05/17:45:36.710215,/waypoint_nav_plugin,7,0,[],[],[]
2025/07/05/17:45:37.239929,/waypoint_nav_plugin,7,0,[],[],[]
2025/07/05/17:45:37.707960,/waypoint_nav_plugin,7,0,[],[],[]
2025/07/05/17:45:38.213490,/waypoint_nav_plugin,7,0,[],[],[]
2025/07/05/17:45:39.279350,/waypoint_nav_plugin,7,0,[],[],[]
2025/07/05/17:45:40.268930,/waypoint_nav_plugin,7,0,[],[],[]
2025/07/05/17:45:40.268948,/waypoint_nav_plugin,7,0,[],[],[]
2025/07/05/17:45:40.268954,/waypoint_nav_plugin,7,0,[],[],[]
2025/07/05/17:45:41.032069,/waypoint_nav_plugin,7,0,[],[],[]
2025/07/05/17:45:42.308314,/waypoint_nav_plugin,7,0,[],[],[]
2025/07/05/17:45:42.308336,/waypoint_nav_plugin,7,0,[],[],[]
2025/07/05/17:45:42.308376,/waypoint_nav_plugin,7,0,[],[],[]
2025/07/05/17:45:42.724850,/waypoint_nav_plugin,7,0,[],[],[]
2025/07/05/17:45:43.207168,/waypoint_nav_plugin,7,0,[],[],[]
2025/07/05/17:45:43.720443,/waypoint_nav_plugin,7,0,[],[],[]
2025/07/05/17:45:44.229413,/waypoint_nav_plugin,7,0,[],[],[]
2025/07/05/17:45:44.716507,/waypoint_nav_plugin,7,0,[],[],[]
2025/07/05/17:45:45.221771,/waypoint_nav_plugin,7,0,[],[],[]
2025/07/05/17:45:45.710029,/waypoint_nav_plugin,7,0,[],[],[]
2025/07/05/17:45:46.225423,/waypoint_nav_plugin,7,0,[],[],[]
2025/07/05/17:45:49.352692,/waypoint_nav_plugin,7,0,[],[],[]
2025/07/05/17:46:18.903190,/waypoint_nav_plugin,7,0,[],[],[]
2025/07/05/17:46:18.903202,/waypoint_nav_plugin,7,0,[],[],[]
2025/07/05/17:46:18.903211,/waypoint_nav_plugin,7,0,[],[],[]
2025/07/05/17:46:18.903219,/waypoint_nav_plugin,7,0,[],[],[]
2025/07/05/17:46:18.903252,/waypoint_nav_plugin,7,0,[],[],[]
2025/07/05/17:46:18.903262,/waypoint_nav_plugin,7,0,[],[],[]
2025/07/05/17:46:18.903271,/waypoint_nav_plugin,7,0,[],[],[]
2025/07/05/17:46:18.903298,/waypoint_nav_plugin,7,0,[],[],[]
2025/07/05/17:46:18.903450,/waypoint_nav_plugin,7,0,[],[],[]
2025/07/05/17:46:18.903548,/waypoint_nav_plugin,7,0,[],[],[]
2025/07/05/17:46:18.903574,/waypoint_nav_plugin,7,0,[],[],[]
2025/07/05/17:46:18.903588,/waypoint_nav_plugin,7,0,[],[],[]
2025/07/05/17:46:18.903605,/waypoint_nav_plugin,7,0,[],[],[]
2025/07/05/17:46:18.903618,/waypoint_nav_plugin,7,0,[],[],[]
2025/07/05/17:46:18.903627,/waypoint_nav_plugin,7,0,[],[],[]
2025/07/05/17:46:18.903644,/waypoint_nav_plugin,7,0,[],[],[]
2025/07/05/17:46:18.903713,/waypoint_nav_plugin,7,0,[],[],[]
2025/07/05/17:46:18.903724,/waypoint_nav_plugin,7,0,[],[],[]
2025/07/05/17:46:18.903736,/waypoint_nav_plugin,7,0,[],[],[]
2025/07/05/17:46:18.903759,/waypoint_nav_plugin,7,0,[],[],[]
2025/07/05/17:46:18.903777,/waypoint_nav_plugin,7,0,[],[],[]
2025/07/05/17:46:18.904049,/waypoint_nav_plugin,7,0,[],[],[]
2025/07/05/17:46:18.904072,/waypoint_nav_plugin,7,0,[],[],[]
2025/07/05/17:46:18.904089,/waypoint_nav_plugin,7,0,[],[],[]
2025/07/05/17:46:18.904104,/waypoint_nav_plugin,7,0,[],[],[]
2025/07/05/17:46:18.904132,/waypoint_nav_plugin,7,0,[],[],[]
2025/07/05/17:46:18.904158,/waypoint_nav_plugin,7,0,[],[],[]
2025/07/05/17:46:18.904171,/waypoint_nav_plugin,7,0,[],[],[]
2025/07/05/17:46:18.904213,/waypoint_nav_plugin,7,0,[],[],[]
2025/07/05/17:46:18.915915,/waypoint_nav_plugin,7,0,[],[],[]
2025/07/05/17:46:18.915928,/waypoint_nav_plugin,7,0,[],[],[]
2025/07/05/17:46:18.915934,/waypoint_nav_plugin,7,0,[],[],[]
2025/07/05/17:46:18.915940,/waypoint_nav_plugin,7,0,[],[],[]
2025/07/05/17:46:18.915956,/waypoint_nav_plugin,7,0,[],[],[]
2025/07/05/17:46:18.915977,/waypoint_nav_plugin,7,0,[],[],[]
2025/07/05/17:46:18.915989,/waypoint_nav_plugin,7,0,[],[],[]
2025/07/05/17:46:18.915998,/waypoint_nav_plugin,7,0,[],[],[]
2025/07/05/17:46:18.916011,/waypoint_nav_plugin,7,0,[],[],[]
2025/07/05/17:46:18.916023,/waypoint_nav_plugin,7,0,[],[],[]
2025/07/05/17:46:18.916045,/waypoint_nav_plugin,7,0,[],[],[]
2025/07/05/17:46:18.916060,/waypoint_nav_plugin,7,0,[],[],[]
2025/07/05/17:46:18.916072,/waypoint_nav_plugin,7,0,[],[],[]
2025/07/05/17:46:18.916081,/waypoint_nav_plugin,7,0,[],[],[]
2025/07/05/17:46:18.916090,/waypoint_nav_plugin,7,0,[],[],[]
2025/07/05/17:46:18.916101,/waypoint_nav_plugin,7,0,[],[],[]
2025/07/05/17:46:18.916109,/waypoint_nav_plugin,7,0,[],[],[]
2025/07/05/17:46:18.916116,/waypoint_nav_plugin,7,0,[],[],[]
2025/07/05/17:46:18.916128,/waypoint_nav_plugin,7,0,[],[],[]
2025/07/05/17:46:18.916137,/waypoint_nav_plugin,7,0,[],[],[]
2025/07/05/17:46:18.916145,/waypoint_nav_plugin,7,0,[],[],[]
2025/07/05/17:46:18.916157,/waypoint_nav_plugin,7,0,[],[],[]
2025/07/05/17:46:18.916169,/waypoint_nav_plugin,7,0,[],[],[]
