time,.header.seq,.header.stamp.secs,.header.stamp.nsecs,.header.frame_id,.twist.linear.x,.twist.linear.y,.twist.linear.z,.twist.angular.x,.twist.angular.y,.twist.angular.z
2025/07/05/17:44:46.461761,7575,1751712286,461098112,base_link,0.00981633851198838,-0.019311233823578577,0.012745518925497624,-0.015759490430355072,0.0008353656157851216,-0.0024964327458292246
2025/07/05/17:44:46.603914,7576,1751712286,602098112,base_link,0.013257804683844682,-0.017201336427754302,0.013626442528308564,0.004916069097816944,-0.0021877724211663008,0.0008038751548156144
2025/07/05/17:44:46.702319,7577,1751712286,702098112,base_link,0.015408903760929543,-0.014866172653653304,0.014263844154906856,0.012349759228527546,-0.0002790489234030243,0.003158323932439089
2025/07/05/17:44:46.803764,7578,1751712286,803098112,base_link,0.01659264718259818,-0.013286098313671751,0.015072641639338809,0.012940356507897377,9.797443635761764e-05,0.0021576215513050556
2025/07/05/17:44:46.941878,7579,1751712286,940101952,base_link,0.01869832523295393,-0.010996534977617461,0.017629198935533486,0.005321408621966839,-0.00046906666830182076,-0.00021300185471773142
2025/07/05/17:44:47.025775,7580,1751712287,24101952,base_link,0.020176453025526394,-0.008982811492802693,0.02090084846638582,-0.008593596518039703,0.0002631046809256075,-0.001336052082479
2025/07/05/17:44:47.122871,7581,1751712287,121105280,base_link,0.022557423507172446,-0.005613716375849656,0.02114703392209401,-0.012383758090436459,0.001199086080305278,-0.001091411802917719
2025/07/05/17:44:47.224732,7582,1751712287,224105280,base_link,0.024412329352820974,-0.0017196133396738928,0.02165195181047474,-0.006873960606753826,0.002138960175216198,-0.0016791191883385184
2025/07/05/17:44:47.322701,7583,1751712287,321105280,base_link,0.026930476892281813,2.9391274218725828e-05,0.0215611299954675,0.0004747984930872917,0.0015492691891267894,-0.002116438467055559
2025/07/05/17:44:47.482030,7584,1751712287,480105280,base_link,0.029627103102295792,0.002890670583701777,0.01985862536574862,0.005002063699066639,0.0001055684406310318,-0.0015415872912853956
