time,.data
2025/07/05/17:44:55.361849,24.68
2025/07/05/17:44:55.561244,25.21
2025/07/05/17:44:55.661818,25.41
2025/07/05/17:44:55.781919,25.63
2025/07/05/17:44:55.861335,25.79
2025/07/05/17:44:55.982013,26.05
2025/07/05/17:44:56.061363,26.18
2025/07/05/17:44:56.160794,26.27
2025/07/05/17:44:56.262008,26.34
2025/07/05/17:44:56.361042,26.42
2025/07/05/17:44:56.581955,26.68
2025/07/05/17:44:56.661037,26.79
2025/07/05/17:44:56.761865,26.88
2025/07/05/17:44:56.861353,26.89
2025/07/05/17:44:56.982101,26.91
2025/07/05/17:44:57.061287,26.95
2025/07/05/17:44:57.161996,27.03
2025/07/05/17:44:57.261217,27.16
2025/07/05/17:44:57.361365,27.27
2025/07/05/17:44:57.502853,27.29
2025/07/05/17:44:57.641661,27.27
2025/07/05/17:44:57.741891,27.31
2025/07/05/17:44:57.843633,27.39
2025/07/05/17:44:57.941008,27.5
2025/07/05/17:44:58.041430,27.61
2025/07/05/17:44:58.142638,27.62
2025/07/05/17:44:58.240819,27.58
2025/07/05/17:44:58.341052,27.68
2025/07/05/17:44:58.522218,27.96
2025/07/05/17:44:58.624352,28.1
2025/07/05/17:44:58.721938,28.23
2025/07/05/17:44:58.841627,28.23
2025/07/05/17:44:58.961787,28.12
2025/07/05/17:44:59.061213,28.07
2025/07/05/17:44:59.161242,28.07
2025/07/05/17:44:59.261857,27.9
2025/07/05/17:44:59.361054,27.55
2025/07/05/17:44:59.561728,26.04
2025/07/05/17:44:59.661254,25.13
2025/07/05/17:44:59.761166,24.65
2025/07/05/17:44:59.842041,24.7
2025/07/05/17:44:59.942502,25.12
2025/07/05/17:45:00.041263,25.99
2025/07/05/17:45:00.141241,27.15
2025/07/05/17:45:00.240991,28.35
2025/07/05/17:45:00.340870,29.47
2025/07/05/17:45:00.502404,31.0
2025/07/05/17:45:00.625057,32.07
2025/07/05/17:45:00.701698,32.78
2025/07/05/17:45:00.802769,33.71
2025/07/05/17:45:00.901930,34.67
2025/07/05/17:45:01.024667,35.77
2025/07/05/17:45:01.101834,36.44
2025/07/05/17:45:01.181557,37.05
2025/07/05/17:45:01.261573,37.62
2025/07/05/17:45:01.362328,38.32
2025/07/05/17:45:01.522010,39.51
2025/07/05/17:45:01.624528,40.35
2025/07/05/17:45:01.721670,41.25
2025/07/05/17:45:01.803366,41.97
2025/07/05/17:45:01.883543,42.68
2025/07/05/17:45:02.002744,43.69
2025/07/05/17:45:02.081375,44.32
2025/07/05/17:45:02.161139,44.95
2025/07/05/17:45:02.240885,45.59
2025/07/05/17:45:02.342712,46.41
2025/07/05/17:45:02.481785,47.67
2025/07/05/17:45:02.602996,48.82
2025/07/05/17:45:02.683917,49.56
2025/07/05/17:45:02.762064,50.28
2025/07/05/17:45:02.840893,50.96
2025/07/05/17:45:02.942605,51.75
2025/07/05/17:45:03.040653,52.53
2025/07/05/17:45:03.140844,53.34
2025/07/05/17:45:03.240591,54.21
2025/07/05/17:45:03.341077,55.1
2025/07/05/17:45:03.502763,56.45
2025/07/05/17:45:03.624783,57.39
2025/07/05/17:45:03.721967,58.13
2025/07/05/17:45:03.824851,58.87
2025/07/05/17:45:03.901696,59.49
2025/07/05/17:45:04.002132,60.3
2025/07/05/17:45:04.081292,60.97
2025/07/05/17:45:04.180986,61.79
2025/07/05/17:45:04.261854,62.4
2025/07/05/17:45:04.360969,62.96
2025/07/05/17:45:04.560991,63.6
2025/07/05/17:45:04.641017,63.7
2025/07/05/17:45:04.742551,63.7
2025/07/05/17:45:04.841019,63.62
2025/07/05/17:45:04.961004,63.42
2025/07/05/17:45:05.061259,63.2
2025/07/05/17:45:05.161094,62.96
2025/07/05/17:45:05.261157,62.76
2025/07/05/17:45:05.360728,62.63
2025/07/05/17:45:05.580940,62.45
2025/07/05/17:45:05.681207,62.32
2025/07/05/17:45:05.780890,62.16
2025/07/05/17:45:05.860747,61.99
2025/07/05/17:45:05.981227,61.47
2025/07/05/17:45:06.060786,61.04
2025/07/05/17:45:06.161098,60.44
2025/07/05/17:45:06.240902,59.87
2025/07/05/17:45:06.340833,59.25
2025/07/05/17:45:06.502223,58.87
2025/07/05/17:45:06.602278,59.1
2025/07/05/17:45:06.660741,59.37
2025/07/05/17:45:06.760987,59.96
2025/07/05/17:45:06.860731,60.62
2025/07/05/17:45:06.961015,61.23
2025/07/05/17:45:07.060977,61.78
2025/07/05/17:45:07.160924,62.55
2025/07/05/17:45:07.260904,63.49
2025/07/05/17:45:07.361048,64.66
2025/07/05/17:45:07.522141,66.78
2025/07/05/17:45:07.624408,67.76
2025/07/05/17:45:07.721321,67.69
2025/07/05/17:45:07.824503,66.86
2025/07/05/17:45:07.901432,65.87
2025/07/05/17:45:08.024582,64.17
2025/07/05/17:45:08.101419,63.34
2025/07/05/17:45:08.202559,63.02
2025/07/05/17:45:08.286180,63.32
2025/07/05/17:45:08.424724,64.77
2025/07/05/17:45:08.580843,66.98
2025/07/05/17:45:08.661338,67.94
2025/07/05/17:45:08.760898,68.72
2025/07/05/17:45:08.860999,68.67
2025/07/05/17:45:08.981632,67.64
2025/07/05/17:45:09.062689,66.69
2025/07/05/17:45:09.160729,65.31
2025/07/05/17:45:09.260974,64.14
2025/07/05/17:45:09.360495,63.66
2025/07/05/17:45:09.542607,64.53
2025/07/05/17:45:09.640828,65.56
2025/07/05/17:45:09.741011,66.8
2025/07/05/17:45:09.840396,68.04
2025/07/05/17:45:09.940838,69.04
2025/07/05/17:45:10.040262,69.64
2025/07/05/17:45:10.142171,69.88
2025/07/05/17:45:10.240698,69.89
2025/07/05/17:45:10.340341,69.77
2025/07/05/17:45:10.502760,69.61
2025/07/05/17:45:10.624571,69.54
2025/07/05/17:45:10.722355,69.51
