time,.data
2025/07/05/17:49:35.593596,-0.791332282854229
2025/07/05/17:49:35.672523,-0.814370628980554
2025/07/05/17:49:35.752597,-0.8395033702092725
2025/07/05/17:49:35.851726,-0.8717919613711673
2025/07/05/17:49:35.973641,-0.9012880257298715
2025/07/05/17:49:36.051672,-0.9046041513086611
2025/07/05/17:49:36.132243,-0.8965756367494871
2025/07/05/17:49:36.232438,-0.8785987454539455
2025/07/05/17:49:36.332539,-0.851720674973233
2025/07/05/17:49:36.494203,-0.7998843961890014
2025/07/05/17:49:36.634089,-0.7562511648891431
2025/07/05/17:49:36.712318,-0.7332128187628176
2025/07/05/17:49:36.813500,-0.7049384848805095
2025/07/05/17:49:36.893973,-0.6817256058289851
2025/07/05/17:49:37.013822,-0.6448991586119048
2025/07/05/17:49:37.113033,-0.6117379028240124
2025/07/05/17:49:37.213740,-0.5785766470361203
2025/07/05/17:49:37.292502,-0.5522221753310058
2025/07/05/17:49:37.393426,-0.5190609195431135
2025/07/05/17:49:37.552174,-0.4698426346368736
2025/07/05/17:49:37.632829,-0.4497713482389386
2025/07/05/17:49:37.732394,-0.4386012410261749
2025/07/05/17:49:37.832160,-0.43895030687657394
2025/07/05/17:49:37.952215,-0.45308747381772785
2025/07/05/17:49:38.034834,-0.46966810171167406
2025/07/05/17:49:38.132450,-0.4977679026687827
2025/07/05/17:49:38.232231,-0.5279620987282847
2025/07/05/17:49:38.331833,-0.55710909723659
2025/07/05/17:49:38.512158,-0.6016149931624454
2025/07/05/17:49:38.616722,-0.6237806746627733
2025/07/05/17:49:38.693336,-0.6412339671827166
2025/07/05/17:49:38.794011,-0.6630505828326456
2025/07/05/17:49:38.873338,-0.6796312107265918
2025/07/05/17:49:38.993441,-0.6895795874629594
2025/07/05/17:49:39.073763,-0.6806784082777885
2025/07/05/17:49:39.172865,-0.6602580560294549
2025/07/05/17:49:39.275004,-0.6302383928951524
2025/07/05/17:49:39.372370,-0.5946336761544679
2025/07/05/17:49:39.532117,-0.536165146212658
2025/07/05/17:49:39.633837,-0.5019566928735693
2025/07/05/17:49:39.731162,-0.46966810171167406
2025/07/05/17:49:39.834884,-0.4392993727269727
2025/07/05/17:49:39.933154,-0.420100750955035
2025/07/05/17:49:40.035471,-0.4157374278250492
2025/07/05/17:49:40.131875,-0.4253367387110182
2025/07/05/17:49:40.234414,-0.4438372287821581
2025/07/05/17:49:40.332045,-0.4590215932745086
2025/07/05/17:49:40.512904,-0.4473278872861466
2025/07/05/17:49:40.593775,-0.42935099599060494
2025/07/05/17:49:40.672985,-0.404741853537485
2025/07/05/17:49:40.772921,-0.36948620264719956
2025/07/05/17:49:40.873564,-0.33335788713091685
2025/07/05/17:49:41.013032,-0.2883283924294632
2025/07/05/17:49:41.093737,-0.2651155133779386
2025/07/05/17:49:41.171824,-0.2424262331020124
2025/07/05/17:49:41.254928,-0.21956241990088662
2025/07/05/17:49:41.332019,-0.1949532774477666
2025/07/05/17:49:41.472096,-0.14625859131712474
2025/07/05/17:49:41.593598,-0.10489428804485929
2025/07/05/17:49:41.672696,-0.08098327729253689
2025/07/05/17:49:41.774355,-0.06544984694978735
2025/07/05/17:49:41.872596,-0.06335545184739408
2025/07/05/17:49:41.993525,-0.07766715171374772
2025/07/05/17:49:42.092909,-0.10105456369047179
2025/07/05/17:49:42.173954,-0.12374384396639802
2025/07/05/17:49:42.253157,-0.1487020522699168
2025/07/05/17:49:42.351064,-0.1764527873766267
2025/07/05/17:49:42.532067,-0.18046704465621374
2025/07/05/17:49:42.651002,-0.15707963267948966
2025/07/05/17:49:42.750962,-0.12828170002158312
2025/07/05/17:49:42.851620,-0.09634217471008692
2025/07/05/17:49:42.972179,-0.07068583470577029
2025/07/05/17:49:43.071370,-0.07312929565856237
2025/07/05/17:49:43.174039,-0.0916297857297023
2025/07/05/17:49:43.273473,-0.1202531854624093
2025/07/05/17:49:43.354589,-0.1471312559431221
2025/07/05/17:49:43.552114,-0.20263272615654165
2025/07/05/17:49:43.651508,-0.21310470166850753
2025/07/05/17:49:43.751261,-0.20001473227855004
2025/07/05/17:49:43.851791,-0.17662732030182623
2025/07/05/17:49:43.973136,-0.13945180723434683
2025/07/05/17:49:44.055184,-0.11222467090323551
2025/07/05/17:49:44.150944,-0.08185594191853401
2025/07/05/17:49:44.251733,-0.06544984694978735
2025/07/05/17:49:44.332265,-0.066497044500984
2025/07/05/17:49:44.471987,-0.08831366015091312
2025/07/05/17:49:44.592833,-0.12112585008840643
2025/07/05/17:49:44.671754,-0.14660765716752377
2025/07/05/17:49:44.771713,-0.17400932642383463
2025/07/05/17:49:44.854196,-0.18517943363659836
2025/07/05/17:49:44.971399,-0.17313666179783752
2025/07/05/17:49:45.054503,-0.1563815009786918
2025/07/05/17:49:45.151046,-0.1267109036947884
2025/07/05/17:49:45.251337,-0.0912807198793035
2025/07/05/17:49:45.351844,-0.0555014702134198
2025/07/05/17:49:45.532959,-0.028274333882308215
2025/07/05/17:49:45.636382,-0.0383972435438753
2025/07/05/17:49:45.732530,-0.06161012259539985
2025/07/05/17:49:45.834738,-0.09250245035569941
2025/07/05/17:49:45.930994,-0.12601277199399058
2025/07/05/17:49:46.034739,-0.15585790220309373
2025/07/05/17:49:46.133097,-0.1768018532270255
2025/07/05/17:49:46.235109,-0.1829105056090058
2025/07/05/17:49:46.331446,-0.1694714703686493
2025/07/05/17:49:46.493743,-0.12828170002158312
2025/07/05/17:49:46.614521,-0.08761552845011528
2025/07/05/17:49:46.711662,-0.05183627878423157
2025/07/05/17:49:46.793082,-0.026703537555513263
2025/07/05/17:49:46.893317,-0.006283185307179576
2025/07/05/17:49:46.992936,-0.002268928027592549
2025/07/05/17:49:47.071950,-0.007330382858376214
2025/07/05/17:49:47.173569,-0.023212879051524554
2025/07/05/17:49:47.254125,-0.04241150082346233
2025/07/05/17:49:47.350662,-0.06841690667817775
2025/07/05/17:49:47.571215,-0.1267109036947884
