time,.header.seq,.header.stamp.secs,.header.stamp.nsecs,.header.frame_id,.remote_timestamp_ns,.observed_offset_ns,.estimated_offset_ns,.round_trip_time_ms
2025/07/05/17:49:37.471301,10997,1751712577,470927297,,2951195280000,1751709626268475412,1751709626283147008,14.339536666870117
2025/07/05/17:49:37.571055,10998,1751712577,570384890,,2951295128000,1751709626268350249,1751709626283147008,13.79732608795166
2025/07/05/17:49:37.671587,10999,1751712577,671275093,,2951395101000,1751709626268715157,1751709626283147008,14.62925910949707
2025/07/05/17:49:37.772563,11000,1751712577,771556805,,2951495113000,1751709626268954404,1751709626283147008,14.962311744689941
2025/07/05/17:49:37.871725,11001,1751712577,871084836,,2951595321000,1751709626268520234,1751709626283147008,14.483437538146973
2025/07/05/17:49:37.970910,11002,1751712577,970203389,,2951695246000,1751709626268143510,1751709626283147008,13.61673355102539
2025/07/05/17:49:38.071760,11003,1751712578,71248312,,2951795026000,1751709626268858198,1751709626283147008,14.719232559204102
2025/07/05/17:49:38.170772,11004,1751712578,170234701,,2951895006000,1751709626268379639,1751709626283147008,13.68652057647705
2025/07/05/17:49:38.271689,11005,1751712578,271165679,,2951995279000,1751709626268543608,1751709626283147008,14.428058624267578
2025/07/05/17:49:38.371788,11006,1751712578,371123353,,2952094460000,1751709626269342990,1751709626283147008,14.624430656433105
2025/07/05/17:49:38.471715,11007,1751712578,471210003,,2952195112000,1751709626268865160,1751709626283147008,14.462218284606934
2025/07/05/17:49:38.570953,11008,1751712578,570364813,,2952295303000,1751709626268172237,1751709626283147008,13.760626792907715
2025/07/05/17:49:38.670701,11009,1751712578,670024513,,2952395106000,1751709626268177021,1751709626283147008,13.478368759155273
2025/07/05/17:49:38.770581,11010,1751712578,770099860,,2952494500000,1751709626268850510,1751709626283147008,13.49522876739502
2025/07/05/17:49:38.871563,11011,1751712578,871245839,,2952594459000,1751709626269434412,1751709626283147008,14.373308181762695
2025/07/05/17:49:38.970494,11012,1751712578,970106243,,2952695038000,1751709626268337134,1751709626283147008,13.4586763381958
2025/07/05/17:49:39.071986,11013,1751712579,71126235,,2952794484000,1751709626269345932,1751709626283147008,14.588847160339355
2025/07/05/17:49:39.171981,11014,1751712579,171071497,,2952894612000,1751709626269245355,1751709626283147008,14.424574851989746
2025/07/05/17:49:39.272306,11015,1751712579,271109256,,2952994461000,1751709626269405350,1751709626283147008,14.475197792053223
2025/07/05/17:49:39.371704,11016,1751712579,370503728,,2953094511000,1751709626269061458,1751709626283147008,13.842806816101074
2025/07/05/17:49:39.473255,11017,1751712579,472499147,,2953195311000,1751709626268569796,1751709626283147008,14.645115852355957
2025/07/05/17:49:39.571617,11018,1751712579,571080392,,2953295121000,1751709626268776922,1751709626283147008,14.354883193969727
2025/07/05/17:49:39.671747,11019,1751712579,671397282,,2953395269000,1751709626268715603,1751709626283147008,14.800193786621094
2025/07/05/17:49:39.771314,11020,1751712579,770087716,,2953495331000,1751709626268025836,1751709626283147008,13.446054458618164
2025/07/05/17:49:39.871097,11021,1751712579,870883476,,2953595271000,1751709626268405451,1751709626283147008,14.410996437072754
2025/07/05/17:49:39.973480,11022,1751712579,971611829,,2953695003000,1751709626269106185,1751709626283147008,14.985669136047363
2025/07/05/17:49:40.072932,11023,1751712580,71885272,,2953794490000,1751709626269421011,1751709626283147008,14.731854438781738
2025/07/05/17:49:40.171893,11024,1751712580,171408034,,2953895304000,1751709626268781489,1751709626283147008,14.62515640258789
2025/07/05/17:49:40.272799,11025,1751712580,271274499,,2953995108000,1751709626268828362,1751709626283147008,14.661483764648438
2025/07/05/17:49:40.371865,11026,1751712580,371421306,,2954095100000,1751709626268925659,1751709626283147008,14.76779556274414
2025/07/05/17:49:40.471474,11027,1751712580,471062864,,2954195296000,1751709626268533841,1751709626283147008,14.462396621704102
