time,.header.seq,.header.stamp.secs,.header.stamp.nsecs,.header.frame_id,.status.status,.status.service,.latitude,.longitude,.altitude,.position_covariance,.position_covariance_type
2025/07/05/17:49:36.812241,9789,1751712576,821147008,base_link,0,1,-7.2871672,112.7959526,53.98502812168702,"(1.5153610000000002, 0.0, 0.0, 0.0, 1.5153610000000002, 0.0, 0.0, 0.0, 3.5645439999999997)",2
2025/07/05/17:49:36.892811,9790,1751712576,901147008,base_link,0,1,-7.2871677,112.7959532,53.98502872611853,"(1.507984, 0.0, 0.0, 0.0, 1.507984, 0.0, 0.0, 0.0, 3.5268839999999995)",2
2025/07/05/17:49:37.012149,9791,1751712577,21147008,base_link,0,1,-7.2871683,112.795954,53.99502970117054,"(1.507984, 0.0, 0.0, 0.0, 1.507984, 0.0, 0.0, 0.0, 3.5268839999999995)",2
2025/07/05/17:49:37.111808,9792,1751712577,121147008,base_link,0,1,-7.2871689,112.7959548,53.99503067622156,"(1.4884, 0.0, 0.0, 0.0, 1.4884, 0.0, 0.0, 0.0, 3.485689)",2
2025/07/05/17:49:37.212059,9793,1751712577,221147008,base_link,0,1,-7.2871694,112.7959555,54.00503159281905,"(1.4884, 0.0, 0.0, 0.0, 1.4884, 0.0, 0.0, 0.0, 3.485689)",2
2025/07/05/17:49:37.292144,9794,1751712577,301147008,base_link,0,1,-7.2871698,112.7959561,54.015032450963176,"(1.478656, 0.0, 0.0, 0.0, 1.478656, 0.0, 0.0, 0.0, 3.4558809999999998)",2
2025/07/05/17:49:37.392705,9795,1751712577,402147008,base_link,0,1,-7.2871703,112.7959568,54.0150333675587,"(1.478656, 0.0, 0.0, 0.0, 1.478656, 0.0, 0.0, 0.0, 3.4558809999999998)",2
2025/07/05/17:49:37.550870,9796,1751712577,560147008,base_link,0,1,-7.287171,112.7959579,54.035035025390215,"(1.468944, 0.0, 0.0, 0.0, 1.468944, 0.0, 0.0, 0.0, 3.4188009999999998)",2
2025/07/05/17:49:37.631055,9797,1751712577,640147008,base_link,0,1,-7.2871713,112.7959584,54.035035825078666,"(1.468944, 0.0, 0.0, 0.0, 1.468944, 0.0, 0.0, 0.0, 3.4188009999999998)",2
2025/07/05/17:49:37.730888,9798,1751712577,740147008,base_link,0,1,-7.2871716,112.7959592,54.04503756126335,"(1.4544359999999998, 0.0, 0.0, 0.0, 1.4544359999999998, 0.0, 0.0, 0.0, 3.370896)",2
2025/07/05/17:49:37.830921,9799,1751712577,840147008,base_link,0,1,-7.2871719,112.7959599,54.04503898528015,"(1.4544359999999998, 0.0, 0.0, 0.0, 1.4544359999999998, 0.0, 0.0, 0.0, 3.370896)",2
2025/07/05/17:49:37.951740,9800,1751712577,960147008,base_link,0,1,-7.2871722,112.7959608,54.045041033625075,"(1.4376010000000001, 0.0, 0.0, 0.0, 1.4376010000000001, 0.0, 0.0, 0.0, 3.330625)",2
2025/07/05/17:49:38.034025,9801,1751712578,43147008,base_link,0,1,-7.2871724,112.7959615,54.04504271135125,"(1.4376010000000001, 0.0, 0.0, 0.0, 1.4376010000000001, 0.0, 0.0, 0.0, 3.330625)",2
2025/07/05/17:49:38.131010,9802,1751712578,140147008,base_link,0,1,-7.2871726,112.7959622,54.04504438907541,"(1.4089690000000001, 0.0, 0.0, 0.0, 1.4089690000000001, 0.0, 0.0, 0.0, 3.2869689999999996)",2
2025/07/05/17:49:38.230877,9803,1751712578,240147008,base_link,0,1,-7.2871728,112.7959629,54.03504606679772,"(1.4089690000000001, 0.0, 0.0, 0.0, 1.4089690000000001, 0.0, 0.0, 0.0, 3.2869689999999996)",2
2025/07/05/17:49:38.330844,9804,1751712578,340147008,base_link,0,1,-7.2871731,112.7959636,54.025047490804255,"(1.3947610000000001, 0.0, 0.0, 0.0, 1.3947610000000001, 0.0, 0.0, 0.0, 3.250809)",2
2025/07/05/17:49:38.511718,9805,1751712578,521147008,base_link,0,1,-7.2871735,112.7959649,54.0150505340758,"(1.3947610000000001, 0.0, 0.0, 0.0, 1.3947610000000001, 0.0, 0.0, 0.0, 3.250809)",2
2025/07/05/17:49:38.614691,9806,1751712578,624147008,base_link,0,1,-7.2871738,112.7959657,54.01505227023985,"(1.387684, 0.0, 0.0, 0.0, 1.387684, 0.0, 0.0, 0.0, 3.218436)",2
2025/07/05/17:49:38.692057,9807,1751712578,701147008,base_link,0,1,-7.2871741,112.7959662,54.01505306991338,"(1.3759290000000002, 0.0, 0.0, 0.0, 1.3759290000000002, 0.0, 0.0, 0.0, 3.182656)",2
2025/07/05/17:49:38.792653,9808,1751712578,802147008,base_link,0,1,-7.2871744,112.795967,54.005054806073474,"(1.3759290000000002, 0.0, 0.0, 0.0, 1.3759290000000002, 0.0, 0.0, 0.0, 3.182656)",2
2025/07/05/17:49:38.871651,9809,1751712578,880147008,base_link,0,1,-7.2871747,112.7959676,54.00505591790687,"(1.3712410000000002, 0.0, 0.0, 0.0, 1.3712410000000002, 0.0, 0.0, 0.0, 3.147076)",2
2025/07/05/17:49:38.992899,9810,1751712579,2147008,base_link,0,1,-7.2871753,112.7959684,53.99505689292347,"(1.3712410000000002, 0.0, 0.0, 0.0, 1.3712410000000002, 0.0, 0.0, 0.0, 3.147076)",2
2025/07/05/17:49:39.071802,9811,1751712579,80147008,base_link,0,1,-7.2871757,112.7959689,53.995057438880124,"(1.3665610000000001, 0.0, 0.0, 0.0, 1.3665610000000001, 0.0, 0.0, 0.0, 3.1152249999999997)",2
2025/07/05/17:49:39.171713,9812,1751712579,180147008,base_link,0,1,-7.2871763,112.7959695,53.99505778957318,"(1.3665610000000001, 0.0, 0.0, 0.0, 1.3665610000000001, 0.0, 0.0, 0.0, 3.1152249999999997)",2
2025/07/05/17:49:39.272203,9813,1751712579,280147008,base_link,0,1,-7.2871767,112.79597,53.99505833552958,"(1.3665610000000001, 0.0, 0.0, 0.0, 1.3665610000000001, 0.0, 0.0, 0.0, 3.1152249999999997)",2
2025/07/05/17:49:39.371585,9814,1751712579,380147008,base_link,0,1,-7.2871772,112.7959706,53.995058939934594,"(1.3595559999999998, 0.0, 0.0, 0.0, 1.3595559999999998, 0.0, 0.0, 0.0, 3.076516)",2
2025/07/05/17:49:39.531094,9815,1751712579,540147008,base_link,0,1,-7.287178,112.7959717,53.99506034400572,"(1.3572250000000001, 0.0, 0.0, 0.0, 1.3572250000000001, 0.0, 0.0, 0.0, 3.055504)",2
2025/07/05/17:49:39.633686,9816,1751712579,643147008,base_link,0,1,-7.2871785,112.7959724,53.9950612605689,"(1.3572250000000001, 0.0, 0.0, 0.0, 1.3572250000000001, 0.0, 0.0, 0.0, 3.055504)",2
2025/07/05/17:49:39.730819,9817,1751712579,740147008,base_link,0,1,-7.287179,112.7959732,53.99506248929005,"(1.3595559999999998, 0.0, 0.0, 0.0, 1.3595559999999998, 0.0, 0.0, 0.0, 3.048516)",2
2025/07/05/17:49:39.833520,9818,1751712579,843147008,base_link,0,1,-7.2871795,112.7959739,53.995063405850786,"(1.3595559999999998, 0.0, 0.0, 0.0, 1.3595559999999998, 0.0, 0.0, 0.0, 3.048516)",2
2025/07/05/17:49:39.930892,9819,1751712579,940147008,base_link,0,1,-7.2871799,112.7959747,54.005064888278326,"(1.3618890000000001, 0.0, 0.0, 0.0, 1.3618890000000001, 0.0, 0.0, 0.0, 3.041536)",2
2025/07/05/17:49:40.033827,9820,1751712580,43147008,base_link,0,1,-7.2871802,112.7959756,54.0050669365709,"(1.3618890000000001, 0.0, 0.0, 0.0, 1.3618890000000001, 0.0, 0.0, 0.0, 3.041536)",2
2025/07/05/17:49:40.130599,9821,1751712580,140147008,base_link,0,1,-7.2871805,112.7959764,54.00506867270286,"(1.3688999999999998, 0.0, 0.0, 0.0, 1.3688999999999998, 0.0, 0.0, 0.0, 3.0450250000000003)",2
2025/07/05/17:49:40.233679,9822,1751712580,243147008,base_link,0,1,-7.2871808,112.7959772,54.015070408832244,"(1.3688999999999998, 0.0, 0.0, 0.0, 1.3688999999999998, 0.0, 0.0, 0.0, 3.0450250000000003)",2
