time,.header.seq,.header.stamp.secs,.header.stamp.nsecs,.header.frame_id,.temperature,.variance
2025/07/05/17:49:55.291602,10509,1751712595,302147008,base_link,69.4,0.0
2025/07/05/17:49:55.450995,10510,1751712595,460147008,base_link,69.4,0.0
2025/07/05/17:49:55.591534,10511,1751712595,602147008,base_link,69.4,0.0
2025/07/05/17:49:55.670055,10512,1751712595,681147008,base_link,69.4,0.0
2025/07/05/17:49:55.791696,10513,1751712595,801147008,base_link,69.4,0.0
2025/07/05/17:49:55.870284,10514,1751712595,880147008,base_link,69.4,0.0
2025/07/05/17:49:55.971089,10515,1751712595,981147008,base_link,69.4,0.0
2025/07/05/17:49:56.091183,10516,1751712596,101147008,base_link,69.4,0.0
2025/07/05/17:49:56.171527,10517,1751712596,180147008,base_link,69.4,0.0
2025/07/05/17:49:56.271357,10518,1751712596,281147008,base_link,69.4,0.0
2025/07/05/17:49:56.412122,10519,1751712596,421147008,base_link,69.4,0.0
2025/07/05/17:49:56.530274,10520,1751712596,540147008,base_link,69.4,0.0
2025/07/05/17:49:56.630421,10521,1751712596,640147008,base_link,69.4,0.0
2025/07/05/17:49:56.692089,10522,1751712596,702147008,base_link,69.4,0.0
2025/07/05/17:49:56.813825,10523,1751712596,823147008,base_link,69.41,0.0
2025/07/05/17:49:56.891340,10524,1751712596,902147008,base_link,69.4,0.0
2025/07/05/17:49:56.992418,10525,1751712597,2147008,base_link,69.4,0.0
2025/07/05/17:49:57.091104,10526,1751712597,102147008,base_link,69.41,0.0
2025/07/05/17:49:57.191163,10527,1751712597,202147008,base_link,69.4,0.0
2025/07/05/17:49:57.291208,10528,1751712597,302147008,base_link,69.4,0.0
2025/07/05/17:49:57.434058,10529,1751712597,443147008,base_link,69.41,0.0
2025/07/05/17:49:57.572242,10530,1751712597,581147008,base_link,69.41,0.0
2025/07/05/17:49:57.671195,10531,1751712597,681147008,base_link,69.41,0.0
2025/07/05/17:49:57.770311,10532,1751712597,781147008,base_link,69.4,0.0
2025/07/05/17:49:57.891030,10533,1751712597,901147008,base_link,69.4,0.0
2025/07/05/17:49:57.970113,10534,1751712597,980147008,base_link,69.4,0.0
2025/07/05/17:49:58.069854,10535,1751712598,80147008,base_link,69.41,0.0
2025/07/05/17:49:58.150101,10536,1751712598,160147008,base_link,69.41,0.0
2025/07/05/17:49:58.252114,10537,1751712598,260147008,base_link,69.41,0.0
2025/07/05/17:49:58.330147,10538,1751712598,340147008,base_link,69.41,0.0
2025/07/05/17:49:58.491873,10539,1751712598,502147008,base_link,69.41,0.0
2025/07/05/17:49:58.591364,10540,1751712598,601147008,base_link,69.41,0.0
2025/07/05/17:49:58.670433,10541,1751712598,681147008,base_link,69.41,0.0
2025/07/05/17:49:58.771633,10542,1751712598,781147008,base_link,69.41,0.0
2025/07/05/17:49:58.870320,10543,1751712598,880147008,base_link,69.41,0.0
2025/07/05/17:49:58.991229,10544,1751712599,1147008,base_link,69.41,0.0
2025/07/05/17:49:59.091005,10545,1751712599,101147008,base_link,69.41,0.0
2025/07/05/17:49:59.191277,10546,1751712599,201147008,base_link,69.41,0.0
2025/07/05/17:49:59.272718,10547,1751712599,281147008,base_link,69.41,0.0
2025/07/05/17:49:59.412422,10548,1751712599,422147008,base_link,69.41,0.0
2025/07/05/17:49:59.530573,10549,1751712599,540147008,base_link,69.41,0.0
2025/07/05/17:49:59.633079,10550,1751712599,643147008,base_link,69.41,0.0
2025/07/05/17:49:59.729954,10551,1751712599,740147008,base_link,69.41,0.0
2025/07/05/17:49:59.832802,10552,1751712599,843147008,base_link,69.41,0.0
2025/07/05/17:49:59.930530,10553,1751712599,940147008,base_link,69.41,0.0
2025/07/05/17:50:00.049463,10554,1751712600,60147008,base_link,69.41,0.0
2025/07/05/17:50:00.151035,10555,1751712600,160147008,base_link,69.41,0.0
2025/07/05/17:50:00.233413,10556,1751712600,244147008,base_link,69.41,0.0
2025/07/05/17:50:00.350821,10557,1751712600,360147008,base_link,69.41,0.0
2025/07/05/17:50:00.530143,10558,1751712600,540147008,base_link,69.41,0.0
2025/07/05/17:50:00.612257,10559,1751712600,621147008,base_link,69.41,0.0
2025/07/05/17:50:00.691002,10560,1751712600,702147008,base_link,69.41,0.0
2025/07/05/17:50:00.791661,10561,1751712600,802147008,base_link,69.41,0.0
2025/07/05/17:50:00.892209,10562,1751712600,901147008,base_link,69.41,0.0
2025/07/05/17:50:00.970536,10563,1751712600,980147008,base_link,69.41,0.0
2025/07/05/17:50:01.070095,10564,1751712601,80147008,base_link,69.41,0.0
2025/07/05/17:50:01.171399,10565,1751712601,181147008,base_link,69.42,0.0
2025/07/05/17:50:01.270919,10566,1751712601,280147008,base_link,69.42,0.0
2025/07/05/17:50:01.391110,10567,1751712601,402147008,base_link,69.42,0.0
2025/07/05/17:50:01.571287,10568,1751712601,580147008,base_link,69.42,0.0
2025/07/05/17:50:01.670678,10569,1751712601,681147008,base_link,69.42,0.0
2025/07/05/17:50:01.751414,10570,1751712601,760147008,base_link,69.42,0.0
2025/07/05/17:50:01.850639,10571,1751712601,860147008,base_link,69.42,0.0
2025/07/05/17:50:01.971579,10572,1751712601,981147008,base_link,69.42,0.0
2025/07/05/17:50:02.069750,10573,1751712602,80147008,base_link,69.42,0.0
2025/07/05/17:50:02.169687,10574,1751712602,180147008,base_link,69.42,0.0
2025/07/05/17:50:02.251905,10575,1751712602,260147008,base_link,69.42,0.0
2025/07/05/17:50:02.351587,10576,1751712602,360147008,base_link,69.42,0.0
2025/07/05/17:50:02.530147,10577,1751712602,540147008,base_link,69.42,0.0
2025/07/05/17:50:02.633701,10578,1751712602,643147008,base_link,69.42,0.0
2025/07/05/17:50:02.712131,10579,1751712602,721147008,base_link,69.42,0.0
2025/07/05/17:50:02.811372,10580,1751712602,821147008,base_link,69.42,0.0
2025/07/05/17:50:02.891464,10581,1751712602,901147008,base_link,69.42,0.0
2025/07/05/17:50:02.991519,10582,1751712603,2147008,base_link,69.42,0.0
2025/07/05/17:50:03.072653,10583,1751712603,80147008,base_link,69.42,0.0
2025/07/05/17:50:03.170332,10584,1751712603,181147008,base_link,69.42,0.0
2025/07/05/17:50:03.271493,10585,1751712603,280147008,base_link,69.42,0.0
2025/07/05/17:50:03.370095,10586,1751712603,380147008,base_link,69.42,0.0
2025/07/05/17:50:03.530542,10587,1751712603,540147008,base_link,69.42,0.0
2025/07/05/17:50:03.651328,10588,1751712603,660147008,base_link,69.42,0.0
2025/07/05/17:50:03.750903,10589,1751712603,760147008,base_link,69.42,0.0
2025/07/05/17:50:03.851589,10590,1751712603,860147008,base_link,69.42,0.0
2025/07/05/17:50:03.950014,10591,1751712603,960147008,base_link,69.42,0.0
2025/07/05/17:50:04.052228,10592,1751712604,60147008,base_link,69.42,0.0
2025/07/05/17:50:04.151243,10593,1751712604,160147008,base_link,69.42,0.0
2025/07/05/17:50:04.252304,10594,1751712604,260147008,base_link,69.42,0.0
2025/07/05/17:50:04.351319,10595,1751712604,360147008,base_link,69.42,0.0
2025/07/05/17:50:04.530428,10596,1751712604,540147008,base_link,69.42,0.0
2025/07/05/17:50:04.632422,10597,1751712604,643147008,base_link,69.42,0.0
2025/07/05/17:50:04.729669,10598,1751712604,740147008,base_link,69.43,0.0
