time,.layout.dim,.layout.data_offset,.data
2025/07/05/17:49:35.153469,[],0,"(-7.28604, 112.794951, -7.287745, 112.797922)"
2025/07/05/17:49:35.253353,[],0,"(-7.28604, 112.794951, -7.287745, 112.797922)"
2025/07/05/17:49:35.253361,[],0,"(-7.28604, 112.794951, -7.287745, 112.797922)"
2025/07/05/17:49:35.253371,[],0,"(-7.28604, 112.794951, -7.287745, 112.797922)"
2025/07/05/17:49:35.332857,[],0,"(-7.28604, 112.794951, -7.287745, 112.797922)"
2025/07/05/17:49:35.332912,[],0,"(-7.28604, 112.794951, -7.287745, 112.797922)"
2025/07/05/17:49:35.332979,[],0,"(-7.28604, 112.794951, -7.287745, 112.797922)"
2025/07/05/17:49:35.472717,[],0,"(-7.28604, 112.794951, -7.287745, 112.797922)"
2025/07/05/17:49:35.474262,[],0,"(-7.28604, 112.794951, -7.287745, 112.797922)"
2025/07/05/17:49:35.474352,[],0,"(-7.28604, 112.794951, -7.287745, 112.797922)"
2025/07/05/17:49:35.593032,[],0,"(-7.28604, 112.794951, -7.287745, 112.797922)"
2025/07/05/17:49:35.594033,[],0,"(-7.28604, 112.794951, -7.287745, 112.797922)"
2025/07/05/17:49:35.595051,[],0,"(-7.28604, 112.794951, -7.287745, 112.797922)"
2025/07/05/17:49:35.672581,[],0,"(-7.28604, 112.794951, -7.287745, 112.797922)"
2025/07/05/17:49:35.673579,[],0,"(-7.28604, 112.794951, -7.287745, 112.797922)"
2025/07/05/17:49:35.673743,[],0,"(-7.28604, 112.794951, -7.287745, 112.797922)"
2025/07/05/17:49:35.752155,[],0,"(-7.28604, 112.794951, -7.287745, 112.797922)"
2025/07/05/17:49:35.753112,[],0,"(-7.28604, 112.794951, -7.287745, 112.797922)"
2025/07/05/17:49:35.753495,[],0,"(-7.28604, 112.794951, -7.287745, 112.797922)"
2025/07/05/17:49:35.852060,[],0,"(-7.28604, 112.794951, -7.287745, 112.797922)"
2025/07/05/17:49:35.853442,[],0,"(-7.28604, 112.794951, -7.287745, 112.797922)"
2025/07/05/17:49:35.853792,[],0,"(-7.28604, 112.794951, -7.287745, 112.797922)"
2025/07/05/17:49:35.973676,[],0,"(-7.28604, 112.794951, -7.287745, 112.797922)"
2025/07/05/17:49:35.973939,[],0,"(-7.28604, 112.794951, -7.287745, 112.797922)"
2025/07/05/17:49:35.974990,[],0,"(-7.28604, 112.794951, -7.287745, 112.797922)"
2025/07/05/17:49:36.053061,[],0,"(-7.28604, 112.794951, -7.287745, 112.797922)"
2025/07/05/17:49:36.053073,[],0,"(-7.28604, 112.794951, -7.287745, 112.797922)"
2025/07/05/17:49:36.053576,[],0,"(-7.28604, 112.794951, -7.287745, 112.797922)"
2025/07/05/17:49:36.132131,[],0,"(-7.28604, 112.794951, -7.287745, 112.797922)"
2025/07/05/17:49:36.133132,[],0,"(-7.28604, 112.794951, -7.287745, 112.797922)"
2025/07/05/17:49:36.133488,[],0,"(-7.28604, 112.794951, -7.287745, 112.797922)"
2025/07/05/17:49:36.232110,[],0,"(-7.28604, 112.794951, -7.287745, 112.797922)"
2025/07/05/17:49:36.232689,[],0,"(-7.28604, 112.794951, -7.287745, 112.797922)"
2025/07/05/17:49:36.233577,[],0,"(-7.28604, 112.794951, -7.287745, 112.797922)"
2025/07/05/17:49:36.331917,[],0,"(-7.28604, 112.794951, -7.287745, 112.797922)"
2025/07/05/17:49:36.332103,[],0,"(-7.28604, 112.794951, -7.287745, 112.797922)"
2025/07/05/17:49:36.333277,[],0,"(-7.28604, 112.794951, -7.287745, 112.797922)"
2025/07/05/17:49:36.494187,[],0,"(-7.28604, 112.794951, -7.287745, 112.797922)"
2025/07/05/17:49:36.494500,[],0,"(-7.28604, 112.794951, -7.287745, 112.797922)"
2025/07/05/17:49:36.495608,[],0,"(-7.28604, 112.794951, -7.287745, 112.797922)"
2025/07/05/17:49:36.635653,[],0,"(-7.28604, 112.794951, -7.287745, 112.797922)"
2025/07/05/17:49:36.635665,[],0,"(-7.28604, 112.794951, -7.287745, 112.797922)"
2025/07/05/17:49:36.635890,[],0,"(-7.28604, 112.794951, -7.287745, 112.797922)"
2025/07/05/17:49:36.712903,[],0,"(-7.28604, 112.794951, -7.287745, 112.797922)"
2025/07/05/17:49:36.713682,[],0,"(-7.28604, 112.794951, -7.287745, 112.797922)"
2025/07/05/17:49:36.713727,[],0,"(-7.28604, 112.794951, -7.287745, 112.797922)"
2025/07/05/17:49:36.813245,[],0,"(-7.28604, 112.794951, -7.287745, 112.797922)"
2025/07/05/17:49:36.813722,[],0,"(-7.28604, 112.794951, -7.287745, 112.797922)"
2025/07/05/17:49:36.814386,[],0,"(-7.28604, 112.794951, -7.287745, 112.797922)"
2025/07/05/17:49:36.893709,[],0,"(-7.28604, 112.794951, -7.287745, 112.797922)"
2025/07/05/17:49:36.894355,[],0,"(-7.28604, 112.794951, -7.287745, 112.797922)"
2025/07/05/17:49:36.895594,[],0,"(-7.28604, 112.794951, -7.287745, 112.797922)"
2025/07/05/17:49:37.013366,[],0,"(-7.28604, 112.794951, -7.287745, 112.797922)"
2025/07/05/17:49:37.013550,[],0,"(-7.28604, 112.794951, -7.287745, 112.797922)"
2025/07/05/17:49:37.013640,[],0,"(-7.28604, 112.794951, -7.287745, 112.797922)"
2025/07/05/17:49:37.112493,[],0,"(-7.28604, 112.794951, -7.287745, 112.797922)"
